No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.629
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.675
1,gini,,2,1,0.0,,Leave-One-Out,0.676
1,gini,,2,1,0.0,,K-Fold (10),0.542
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.667
2,gini,,2,1,0.0,balanced,K-Fold (5),0.571
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.675
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.703
2,gini,,2,1,0.0,balanced,K-Fold (10),0.567
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.658
3,gini,,2,1,0.001,,K-Fold (5),0.629
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.675
3,gini,,2,1,0.001,,Leave-One-Out,0.676
3,gini,,2,1,0.001,,K-Fold (10),0.542
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.667
4,gini,,2,1,0.001,balanced,K-Fold (5),0.571
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.675
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.703
4,gini,,2,1,0.001,balanced,K-Fold (10),0.567
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.658
5,gini,,2,1,0.01,,K-Fold (5),0.629
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.675
5,gini,,2,1,0.01,,Leave-One-Out,0.676
5,gini,,2,1,0.01,,K-Fold (10),0.542
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.667
6,gini,,2,1,0.01,balanced,K-Fold (5),0.571
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.675
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.703
6,gini,,2,1,0.01,balanced,K-Fold (10),0.567
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.658
7,gini,,2,1,0.1,,K-Fold (5),0.486
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.35
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.5
8,gini,,2,1,0.1,balanced,K-Fold (5),0.486
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.511
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.433
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.508
9,gini,,2,2,0.0,,K-Fold (5),0.6
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.621
9,gini,,2,2,0.0,,Leave-One-Out,0.541
9,gini,,2,2,0.0,,K-Fold (10),0.575
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.558
10,gini,,2,2,0.0,balanced,K-Fold (5),0.629
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.621
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.541
10,gini,,2,2,0.0,balanced,K-Fold (10),0.625
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.55
11,gini,,2,2,0.001,,K-Fold (5),0.6
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.621
11,gini,,2,2,0.001,,Leave-One-Out,0.541
11,gini,,2,2,0.001,,K-Fold (10),0.575
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.558
12,gini,,2,2,0.001,balanced,K-Fold (5),0.629
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.621
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.541
12,gini,,2,2,0.001,balanced,K-Fold (10),0.625
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.55
13,gini,,2,2,0.01,,K-Fold (5),0.6
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.621
13,gini,,2,2,0.01,,Leave-One-Out,0.568
13,gini,,2,2,0.01,,K-Fold (10),0.575
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.558
14,gini,,2,2,0.01,balanced,K-Fold (5),0.629
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.621
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.568
14,gini,,2,2,0.01,balanced,K-Fold (10),0.625
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.55
15,gini,,2,2,0.1,,K-Fold (5),0.486
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.511
15,gini,,2,2,0.1,,Leave-One-Out,0.676
15,gini,,2,2,0.1,,K-Fold (10),0.35
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.5
16,gini,,2,2,0.1,balanced,K-Fold (5),0.486
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.511
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.676
16,gini,,2,2,0.1,balanced,K-Fold (10),0.433
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.508
17,gini,,2,3,0.0,,K-Fold (5),0.607
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.643
17,gini,,2,3,0.0,,Leave-One-Out,0.541
17,gini,,2,3,0.0,,K-Fold (10),0.625
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.6
18,gini,,2,3,0.0,balanced,K-Fold (5),0.607
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.643
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.541
18,gini,,2,3,0.0,balanced,K-Fold (10),0.65
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.575
19,gini,,2,3,0.001,,K-Fold (5),0.607
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.643
19,gini,,2,3,0.001,,Leave-One-Out,0.541
19,gini,,2,3,0.001,,K-Fold (10),0.625
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.6
20,gini,,2,3,0.001,balanced,K-Fold (5),0.607
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.643
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.541
20,gini,,2,3,0.001,balanced,K-Fold (10),0.65
