No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.596
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.675
1,gini,,2,1,0.0,,Leave-One-Out,0.622
1,gini,,2,1,0.0,,K-Fold (10),0.608
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.65
2,gini,,2,1,0.0,balanced,K-Fold (5),0.596
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.7
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.622
2,gini,,2,1,0.0,balanced,K-Fold (10),0.608
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.65
3,gini,,2,1,0.001,,K-Fold (5),0.596
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.675
3,gini,,2,1,0.001,,Leave-One-Out,0.622
3,gini,,2,1,0.001,,K-Fold (10),0.608
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.65
4,gini,,2,1,0.001,balanced,K-Fold (5),0.596
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.7
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.622
4,gini,,2,1,0.001,balanced,K-Fold (10),0.608
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.65
5,gini,,2,1,0.01,,K-Fold (5),0.596
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.675
5,gini,,2,1,0.01,,Leave-One-Out,0.622
5,gini,,2,1,0.01,,K-Fold (10),0.608
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.65
6,gini,,2,1,0.01,balanced,K-Fold (5),0.596
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.7
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.622
6,gini,,2,1,0.01,balanced,K-Fold (10),0.608
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.65
7,gini,,2,1,0.1,,K-Fold (5),0.429
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.267
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.45
8,gini,,2,1,0.1,balanced,K-Fold (5),0.429
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.511
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.378
8,gini,,2,1,0.1,balanced,K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.45
9,gini,,2,2,0.0,,K-Fold (5),0.696
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.675
9,gini,,2,2,0.0,,Leave-One-Out,0.595
9,gini,,2,2,0.0,,K-Fold (10),0.633
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.583
10,gini,,2,2,0.0,balanced,K-Fold (5),0.671
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.7
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.595
10,gini,,2,2,0.0,balanced,K-Fold (10),0.667
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.608
11,gini,,2,2,0.001,,K-Fold (5),0.696
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.675
11,gini,,2,2,0.001,,Leave-One-Out,0.595
11,gini,,2,2,0.001,,K-Fold (10),0.633
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.583
12,gini,,2,2,0.001,balanced,K-Fold (5),0.671
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.7
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.595
12,gini,,2,2,0.001,balanced,K-Fold (10),0.667
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.608
13,gini,,2,2,0.01,,K-Fold (5),0.696
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.675
13,gini,,2,2,0.01,,Leave-One-Out,0.568
13,gini,,2,2,0.01,,K-Fold (10),0.608
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.558
14,gini,,2,2,0.01,balanced,K-Fold (5),0.671
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.7
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.568
14,gini,,2,2,0.01,balanced,K-Fold (10),0.667
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.608
15,gini,,2,2,0.1,,K-Fold (5),0.429
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.511
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.267
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.45
16,gini,,2,2,0.1,balanced,K-Fold (5),0.429
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.511
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.378
16,gini,,2,2,0.1,balanced,K-Fold (10),0.4
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.45
17,gini,,2,3,0.0,,K-Fold (5),0.593
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.671
17,gini,,2,3,0.0,,Leave-One-Out,0.541
17,gini,,2,3,0.0,,K-Fold (10),0.542
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.533
18,gini,,2,3,0.0,balanced,K-Fold (5),0.593
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.671
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.541
18,gini,,2,3,0.0,balanced,K-Fold (10),0.567
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.558
19,gini,,2,3,0.001,,K-Fold (5),0.593
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.671
19,gini,,2,3,0.001,,Leave-One-Out,0.541
19,gini,,2,3,0.001,,K-Fold (10),0.542
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.533
20,gini,,2,3,0.001,balanced,K-Fold (5),0.593
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.671
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.541
20,gini,,2,3,0.001,balanced,K-Fold (10),0.567
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.558
21,gini,,2,3,0.01,,K-Fold (5),0.593
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.621
21,gini,,2,3,0.01,,Leave-One-Out,0.541
