No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.6
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.7
1,gini,,2,1,0.0,,Leave-One-Out,0.622
1,gini,,2,1,0.0,,K-Fold (10),0.525
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.683
2,gini,,2,1,0.0,balanced,K-Fold (5),0.625
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.7
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.622
2,gini,,2,1,0.0,balanced,K-Fold (10),0.5
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.608
3,gini,,2,1,0.001,,K-Fold (5),0.6
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.7
3,gini,,2,1,0.001,,Leave-One-Out,0.622
3,gini,,2,1,0.001,,K-Fold (10),0.525
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.683
4,gini,,2,1,0.001,balanced,K-Fold (5),0.625
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.7
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.622
4,gini,,2,1,0.001,balanced,K-Fold (10),0.5
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.608
5,gini,,2,1,0.01,,K-Fold (5),0.6
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.7
5,gini,,2,1,0.01,,Leave-One-Out,0.622
5,gini,,2,1,0.01,,K-Fold (10),0.525
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.683
6,gini,,2,1,0.01,balanced,K-Fold (5),0.625
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.7
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.622
6,gini,,2,1,0.01,balanced,K-Fold (10),0.5
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.608
7,gini,,2,1,0.1,,K-Fold (5),0.439
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
