No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.55
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.568
1,gini,,2,1,0.0,,Leave-One-Out,0.568
1,gini,,2,1,0.0,,K-Fold (10),0.542
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.583
2,gini,,2,1,0.0,balanced,K-Fold (5),0.521
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.568
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.541
2,gini,,2,1,0.0,balanced,K-Fold (10),0.617
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.558
3,gini,,2,1,0.001,,K-Fold (5),0.55
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.568
3,gini,,2,1,0.001,,Leave-One-Out,0.568
3,gini,,2,1,0.001,,K-Fold (10),0.542
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.583
4,gini,,2,1,0.001,balanced,K-Fold (5),0.521
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.568
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.541
4,gini,,2,1,0.001,balanced,K-Fold (10),0.617
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.558
5,gini,,2,1,0.01,,K-Fold (5),0.55
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.568
5,gini,,2,1,0.01,,Leave-One-Out,0.622
5,gini,,2,1,0.01,,K-Fold (10),0.575
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.633
6,gini,,2,1,0.01,balanced,K-Fold (5),0.521
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.568
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.595
6,gini,,2,1,0.01,balanced,K-Fold (10),0.65
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.608
7,gini,,2,1,0.1,,K-Fold (5),0.375
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.457
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.325
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.45
8,gini,,2,1,0.1,balanced,K-Fold (5),0.425
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.457
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.492
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.483
9,gini,,2,2,0.0,,K-Fold (5),0.632
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.675
9,gini,,2,2,0.0,,Leave-One-Out,0.622
9,gini,,2,2,0.0,,K-Fold (10),0.567
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.667
10,gini,,2,2,0.0,balanced,K-Fold (5),0.657
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.675
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.595
10,gini,,2,2,0.0,balanced,K-Fold (10),0.567
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.667
11,gini,,2,2,0.001,,K-Fold (5),0.632
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.675
11,gini,,2,2,0.001,,Leave-One-Out,0.622
11,gini,,2,2,0.001,,K-Fold (10),0.567
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.667
12,gini,,2,2,0.001,balanced,K-Fold (5),0.657
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.675
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.595
12,gini,,2,2,0.001,balanced,K-Fold (10),0.567
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.667
13,gini,,2,2,0.01,,K-Fold (5),0.632
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.675
13,gini,,2,2,0.01,,Leave-One-Out,0.649
13,gini,,2,2,0.01,,K-Fold (10),0.567
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.667
14,gini,,2,2,0.01,balanced,K-Fold (5),0.657
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.675
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.622
14,gini,,2,2,0.01,balanced,K-Fold (10),0.567
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.667
15,gini,,2,2,0.1,,K-Fold (5),0.375
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.457
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.325
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.45
16,gini,,2,2,0.1,balanced,K-Fold (5),0.425
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.457
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.486
16,gini,,2,2,0.1,balanced,K-Fold (10),0.492
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.483
17,gini,,2,3,0.0,,K-Fold (5),0.707
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.625
17,gini,,2,3,0.0,,Leave-One-Out,0.703
17,gini,,2,3,0.0,,K-Fold (10),0.708
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.742
18,gini,,2,3,0.0,balanced,K-Fold (5),0.736
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.625
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.703
18,gini,,2,3,0.0,balanced,K-Fold (10),0.733
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.742
19,gini,,2,3,0.001,,K-Fold (5),0.707
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.625
19,gini,,2,3,0.001,,Leave-One-Out,0.703
19,gini,,2,3,0.001,,K-Fold (10),0.708
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.742
20,gini,,2,3,0.001,balanced,K-Fold (5),0.736
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.625
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.703
20,gini,,2,3,0.001,balanced,K-Fold (10),0.733
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.742
21,gini,,2,3,0.01,,K-Fold (5),0.707
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.625
21,gini,,2,3,0.01,,Leave-One-Out,0.703
21,gini,,2,3,0.01,,K-Fold (10),0.733
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.742
22,gini,,2,3,0.01,balanced,K-Fold (5),0.736
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.625
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.703
22,gini,,2,3,0.01,balanced,K-Fold (10),0.733
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.742
23,gini,,2,3,0.1,,K-Fold (5),0.375
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.457
