No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.493
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.593
1,gini,,2,1,0.0,,Leave-One-Out,0.514
1,gini,,2,1,0.0,,K-Fold (10),0.475
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.55
2,gini,,2,1,0.0,balanced,K-Fold (5),0.493
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.593
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.514
2,gini,,2,1,0.0,balanced,K-Fold (10),0.55
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.55
3,gini,,2,1,0.001,,K-Fold (5),0.493
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.593
3,gini,,2,1,0.001,,Leave-One-Out,0.514
3,gini,,2,1,0.001,,K-Fold (10),0.475
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.55
4,gini,,2,1,0.001,balanced,K-Fold (5),0.493
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.593
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.514
4,gini,,2,1,0.001,balanced,K-Fold (10),0.55
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.55
5,gini,,2,1,0.01,,K-Fold (5),0.518
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.593
5,gini,,2,1,0.01,,Leave-One-Out,0.514
5,gini,,2,1,0.01,,K-Fold (10),0.5
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.55
6,gini,,2,1,0.01,balanced,K-Fold (5),0.518
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.593
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.514
6,gini,,2,1,0.01,balanced,K-Fold (10),0.55
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.55
7,gini,,2,1,0.1,,K-Fold (5),0.375
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.457
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.325
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.45
8,gini,,2,1,0.1,balanced,K-Fold (5),0.425
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.457
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.492
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.483
9,gini,,2,2,0.0,,K-Fold (5),0.489
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.618
9,gini,,2,2,0.0,,Leave-One-Out,0.541
9,gini,,2,2,0.0,,K-Fold (10),0.5
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.575
10,gini,,2,2,0.0,balanced,K-Fold (5),0.489
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.618
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.541
10,gini,,2,2,0.0,balanced,K-Fold (10),0.525
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.575
11,gini,,2,2,0.001,,K-Fold (5),0.489
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.618
11,gini,,2,2,0.001,,Leave-One-Out,0.541
11,gini,,2,2,0.001,,K-Fold (10),0.5
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.575
12,gini,,2,2,0.001,balanced,K-Fold (5),0.489
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.618
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.541
12,gini,,2,2,0.001,balanced,K-Fold (10),0.525
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.575
13,gini,,2,2,0.01,,K-Fold (5),0.514
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.568
13,gini,,2,2,0.01,,Leave-One-Out,0.568
13,gini,,2,2,0.01,,K-Fold (10),0.525
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.525
14,gini,,2,2,0.01,balanced,K-Fold (5),0.514
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.568
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.568
14,gini,,2,2,0.01,balanced,K-Fold (10),0.525
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.525
15,gini,,2,2,0.1,,K-Fold (5),0.375
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.457
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.325
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.45
16,gini,,2,2,0.1,balanced,K-Fold (5),0.425
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.457
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.486
16,gini,,2,2,0.1,balanced,K-Fold (10),0.492
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.483
17,gini,,2,3,0.0,,K-Fold (5),0.621
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.621
17,gini,,2,3,0.0,,Leave-One-Out,0.622
17,gini,,2,3,0.0,,K-Fold (10),0.575
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.625
18,gini,,2,3,0.0,balanced,K-Fold (5),0.621
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.621
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.622
18,gini,,2,3,0.0,balanced,K-Fold (10),0.6
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.625
19,gini,,2,3,0.001,,K-Fold (5),0.621
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.621
19,gini,,2,3,0.001,,Leave-One-Out,0.622
19,gini,,2,3,0.001,,K-Fold (10),0.575
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.625
20,gini,,2,3,0.001,balanced,K-Fold (5),0.621
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.621
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.622
20,gini,,2,3,0.001,balanced,K-Fold (10),0.6
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.625
21,gini,,2,3,0.01,,K-Fold (5),0.646
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.621
21,gini,,2,3,0.01,,Leave-One-Out,0.622
21,gini,,2,3,0.01,,K-Fold (10),0.6
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.625
22,gini,,2,3,0.01,balanced,K-Fold (5),0.646
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.621
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.622
22,gini,,2,3,0.01,balanced,K-Fold (10),0.6
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.625
23,gini,,2,3,0.1,,K-Fold (5),0.375
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.457
23,gini,,2,3,0.1,,Leave-One-Out,0.0
23,gini,,2,3,0.1,,K-Fold (10),0.325
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.45
24,gini,,2,3,0.1,balanced,K-Fold (5),0.425
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.457
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.486
24,gini,,2,3,0.1,balanced,K-Fold (10),0.492
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.483
25,gini,,2,4,0.0,,K-Fold (5),0.596
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.621
25,gini,,2,4,0.0,,Leave-One-Out,0.622
25,gini,,2,4,0.0,,K-Fold (10),0.542
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.625
26,gini,,2,4,0.0,balanced,K-Fold (5),0.596
26,gini,,2,4,0.0,balanced,Stratified K-Fold (5),0.621
26,gini,,2,4,0.0,balanced,Leave-One-Out,0.622
26,gini,,2,4,0.0,balanced,K-Fold (10),0.567
26,gini,,2,4,0.0,balanced,Stratified K-Fold (10),0.625
27,gini,,2,4,0.001,,K-Fold (5),0.596
27,gini,,2,4,0.001,,Stratified K-Fold (5),0.621
27,gini,,2,4,0.001,,Leave-One-Out,0.622
27,gini,,2,4,0.001,,K-Fold (10),0.542
27,gini,,2,4,0.001,,Stratified K-Fold (10),0.625
28,gini,,2,4,0.001,balanced,K-Fold (5),0.596
28,gini,,2,4,0.001,balanced,Stratified K-Fold (5),0.621
28,gini,,2,4,0.001,balanced,Leave-One-Out,0.622
28,gini,,2,4,0.001,balanced,K-Fold (10),0.567
28,gini,,2,4,0.001,balanced,Stratified K-Fold (10),0.625
29,gini,,2,4,0.01,,K-Fold (5),0.621
29,gini,,2,4,0.01,,Stratified K-Fold (5),0.646
29,gini,,2,4,0.01,,Leave-One-Out,0.622
29,gini,,2,4,0.01,,K-Fold (10),0.567
29,gini,,2,4,0.01,,Stratified K-Fold (10),0.625
30,gini,,2,4,0.01,balanced,K-Fold (5),0.621
30,gini,,2,4,0.01,balanced,Stratified K-Fold (5),0.646
30,gini,,2,4,0.01,balanced,Leave-One-Out,0.622
30,gini,,2,4,0.01,balanced,K-Fold (10),0.567
30,gini,,2,4,0.01,balanced,Stratified K-Fold (10),0.625
31,gini,,2,4,0.1,,K-Fold (5),0.375
31,gini,,2,4,0.1,,Stratified K-Fold (5),0.457
31,gini,,2,4,0.1,,Leave-One-Out,0.0
31,gini,,2,4,0.1,,K-Fold (10),0.325
31,gini,,2,4,0.1,,Stratified K-Fold (10),0.45
32,gini,,2,4,0.1,balanced,K-Fold (5),0.425
32,gini,,2,4,0.1,balanced,Stratified K-Fold (5),0.457
32,gini,,2,4,0.1,balanced,Leave-One-Out,0.486
32,gini,,2,4,0.1,balanced,K-Fold (10),0.492
32,gini,,2,4,0.1,balanced,Stratified K-Fold (10),0.483
33,gini,,2,5,0.0,,K-Fold (5),0.65
33,gini,,2,5,0.0,,Stratified K-Fold (5),0.646
33,gini,,2,5,0.0,,Leave-One-Out,0.568
33,gini,,2,5,0.0,,K-Fold (10),0.583
33,gini,,2,5,0.0,,Stratified K-Fold (10),0.625
34,gini,,2,5,0.0,balanced,K-Fold (5),0.65
34,gini,,2,5,0.0,balanced,Stratified K-Fold (5),0.646
34,gini,,2,5,0.0,balanced,Leave-One-Out,0.568
34,gini,,2,5,0.0,balanced,K-Fold (10),0.583
34,gini,,2,5,0.0,balanced,Stratified K-Fold (10),0.625
35,gini,,2,5,0.001,,K-Fold (5),0.65
35,gini,,2,5,0.001,,Stratified K-Fold (5),0.646
35,gini,,2,5,0.001,,Leave-One-Out,0.568
35,gini,,2,5,0.001,,K-Fold (10),0.583
35,gini,,2,5,0.001,,Stratified K-Fold (10),0.625
36,gini,,2,5,0.001,balanced,K-Fold (5),0.65
36,gini,,2,5,0.001,balanced,Stratified K-Fold (5),0.646
36,gini,,2,5,0.001,balanced,Leave-One-Out,0.568
36,gini,,2,5,0.001,balanced,K-Fold (10),0.583
36,gini,,2,5,0.001,balanced,Stratified K-Fold (10),0.625
37,gini,,2,5,0.01,,K-Fold (5),0.65
37,gini,,2,5,0.01,,Stratified K-Fold (5),0.646
37,gini,,2,5,0.01,,Leave-One-Out,0.568
37,gini,,2,5,0.01,,K-Fold (10),0.583
37,gini,,2,5,0.01,,Stratified K-Fold (10),0.625
38,gini,,2,5,0.01,balanced,K-Fold (5),0.65
38,gini,,2,5,0.01,balanced,Stratified K-Fold (5),0.646
38,gini,,2,5,0.01,balanced,Leave-One-Out,0.568
