No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.932
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.926
1,gini,,2,1,0.0,,Leave-One-Out,0.939
1,gini,,2,1,0.0,,K-Fold (10),0.934
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.932
2,gini,,2,1,0.0,balanced,K-Fold (5),0.937
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.926
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.939
2,gini,,2,1,0.0,balanced,K-Fold (10),0.934
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.932
3,gini,,2,1,0.001,,K-Fold (5),0.932
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.926
3,gini,,2,1,0.001,,Leave-One-Out,0.939
3,gini,,2,1,0.001,,K-Fold (10),0.934
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.932
4,gini,,2,1,0.001,balanced,K-Fold (5),0.937
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.926
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.939
4,gini,,2,1,0.001,balanced,K-Fold (10),0.934
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.932
5,gini,,2,1,0.01,,K-Fold (5),0.932
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.926
5,gini,,2,1,0.01,,Leave-One-Out,0.942
5,gini,,2,1,0.01,,K-Fold (10),0.945
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.942
6,gini,,2,1,0.01,balanced,K-Fold (5),0.932
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.926
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.942
6,gini,,2,1,0.01,balanced,K-Fold (10),0.945
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.942
7,gini,,2,1,0.1,,K-Fold (5),0.442
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.5
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.437
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.5
8,gini,,2,1,0.1,balanced,K-Fold (5),0.542
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.5
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.0
8,gini,,2,1,0.1,balanced,K-Fold (10),0.463
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.5
9,gini,,2,2,0.0,,K-Fold (5),0.929
