No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.539
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.371
1,gini,,2,1,0.0,,Leave-One-Out,0.622
1,gini,,2,1,0.0,,K-Fold (10),0.533
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.55
2,gini,,2,1,0.0,balanced,K-Fold (5),0.568
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.371
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.595
2,gini,,2,1,0.0,balanced,K-Fold (10),0.533
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.525
3,gini,,2,1,0.001,,K-Fold (5),0.539
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.371
3,gini,,2,1,0.001,,Leave-One-Out,0.622
3,gini,,2,1,0.001,,K-Fold (10),0.533
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.55
4,gini,,2,1,0.001,balanced,K-Fold (5),0.568
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.371
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.595
4,gini,,2,1,0.001,balanced,K-Fold (10),0.533
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.525
5,gini,,2,1,0.01,,K-Fold (5),0.539
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.371
5,gini,,2,1,0.01,,Leave-One-Out,0.622
5,gini,,2,1,0.01,,K-Fold (10),0.533
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.55
6,gini,,2,1,0.01,balanced,K-Fold (5),0.568
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.371
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.595
6,gini,,2,1,0.01,balanced,K-Fold (10),0.533
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.525
7,gini,,2,1,0.1,,K-Fold (5),0.379
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.407
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.242
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.425
8,gini,,2,1,0.1,balanced,K-Fold (5),0.379
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.407
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.378
8,gini,,2,1,0.1,balanced,K-Fold (10),0.375
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.425
9,gini,,2,2,0.0,,K-Fold (5),0.546
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.4
9,gini,,2,2,0.0,,Leave-One-Out,0.595
9,gini,,2,2,0.0,,K-Fold (10),0.617
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.542
10,gini,,2,2,0.0,balanced,K-Fold (5),0.596
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.4
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.568
10,gini,,2,2,0.0,balanced,K-Fold (10),0.617
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.492
11,gini,,2,2,0.001,,K-Fold (5),0.546
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.4
11,gini,,2,2,0.001,,Leave-One-Out,0.595
11,gini,,2,2,0.001,,K-Fold (10),0.617
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.542
12,gini,,2,2,0.001,balanced,K-Fold (5),0.596
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.4
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.568
12,gini,,2,2,0.001,balanced,K-Fold (10),0.617
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.492
13,gini,,2,2,0.01,,K-Fold (5),0.546
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.4
13,gini,,2,2,0.01,,Leave-One-Out,0.595
13,gini,,2,2,0.01,,K-Fold (10),0.617
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.542
14,gini,,2,2,0.01,balanced,K-Fold (5),0.596
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.4
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.568
14,gini,,2,2,0.01,balanced,K-Fold (10),0.617
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.492
15,gini,,2,2,0.1,,K-Fold (5),0.379
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.407
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.242
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.425
16,gini,,2,2,0.1,balanced,K-Fold (5),0.379
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.407
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.378
16,gini,,2,2,0.1,balanced,K-Fold (10),0.375
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.425
17,gini,,2,3,0.0,,K-Fold (5),0.546
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.371
17,gini,,2,3,0.0,,Leave-One-Out,0.514
17,gini,,2,3,0.0,,K-Fold (10),0.542
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.508
18,gini,,2,3,0.0,balanced,K-Fold (5),0.571
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.371
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.514
18,gini,,2,3,0.0,balanced,K-Fold (10),0.567
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.558
19,gini,,2,3,0.001,,K-Fold (5),0.546
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.371
19,gini,,2,3,0.001,,Leave-One-Out,0.514
19,gini,,2,3,0.001,,K-Fold (10),0.542
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.508
20,gini,,2,3,0.001,balanced,K-Fold (5),0.571
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.371
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.514
20,gini,,2,3,0.001,balanced,K-Fold (10),0.567
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.558
21,gini,,2,3,0.01,,K-Fold (5),0.546
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.296
21,gini,,2,3,0.01,,Leave-One-Out,0.514
21,gini,,2,3,0.01,,K-Fold (10),0.542
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.508
22,gini,,2,3,0.01,balanced,K-Fold (5),0.571
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.371
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.514
22,gini,,2,3,0.01,balanced,K-Fold (10),0.567
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.558
23,gini,,2,3,0.1,,K-Fold (5),0.379
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.407
23,gini,,2,3,0.1,,Leave-One-Out,0.0
23,gini,,2,3,0.1,,K-Fold (10),0.242
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.425
24,gini,,2,3,0.1,balanced,K-Fold (5),0.379
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.407
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.378
24,gini,,2,3,0.1,balanced,K-Fold (10),0.375
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.425
25,gini,,2,4,0.0,,K-Fold (5),0.543
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.429
25,gini,,2,4,0.0,,Leave-One-Out,0.541
25,gini,,2,4,0.0,,K-Fold (10),0.508
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.533
26,gini,,2,4,0.0,balanced,K-Fold (5),0.621
26,gini,,2,4,0.0,balanced,Stratified K-Fold (5),0.429
26,gini,,2,4,0.0,balanced,Leave-One-Out,0.541
26,gini,,2,4,0.0,balanced,K-Fold (10),0.508
26,gini,,2,4,0.0,balanced,Stratified K-Fold (10),0.558
27,gini,,2,4,0.001,,K-Fold (5),0.543
27,gini,,2,4,0.001,,Stratified K-Fold (5),0.429
27,gini,,2,4,0.001,,Leave-One-Out,0.541
27,gini,,2,4,0.001,,K-Fold (10),0.508
27,gini,,2,4,0.001,,Stratified K-Fold (10),0.533
28,gini,,2,4,0.001,balanced,K-Fold (5),0.621
28,gini,,2,4,0.001,balanced,Stratified K-Fold (5),0.429
28,gini,,2,4,0.001,balanced,Leave-One-Out,0.541
28,gini,,2,4,0.001,balanced,K-Fold (10),0.508
28,gini,,2,4,0.001,balanced,Stratified K-Fold (10),0.558
29,gini,,2,4,0.01,,K-Fold (5),0.543
29,gini,,2,4,0.01,,Stratified K-Fold (5),0.429
29,gini,,2,4,0.01,,Leave-One-Out,0.541
29,gini,,2,4,0.01,,K-Fold (10),0.508
29,gini,,2,4,0.01,,Stratified K-Fold (10),0.533
30,gini,,2,4,0.01,balanced,K-Fold (5),0.621
30,gini,,2,4,0.01,balanced,Stratified K-Fold (5),0.429
30,gini,,2,4,0.01,balanced,Leave-One-Out,0.541
30,gini,,2,4,0.01,balanced,K-Fold (10),0.508
30,gini,,2,4,0.01,balanced,Stratified K-Fold (10),0.533
31,gini,,2,4,0.1,,K-Fold (5),0.379
31,gini,,2,4,0.1,,Stratified K-Fold (5),0.407
31,gini,,2,4,0.1,,Leave-One-Out,0.0
31,gini,,2,4,0.1,,K-Fold (10),0.242
31,gini,,2,4,0.1,,Stratified K-Fold (10),0.425
32,gini,,2,4,0.1,balanced,K-Fold (5),0.379
32,gini,,2,4,0.1,balanced,Stratified K-Fold (5),0.407
32,gini,,2,4,0.1,balanced,Leave-One-Out,0.378
32,gini,,2,4,0.1,balanced,K-Fold (10),0.375
32,gini,,2,4,0.1,balanced,Stratified K-Fold (10),0.425
33,gini,,2,5,0.0,,K-Fold (5),0.439
33,gini,,2,5,0.0,,Stratified K-Fold (5),0.429
33,gini,,2,5,0.0,,Leave-One-Out,0.541
33,gini,,2,5,0.0,,K-Fold (10),0.558
33,gini,,2,5,0.0,,Stratified K-Fold (10),0.533
34,gini,,2,5,0.0,balanced,K-Fold (5),0.514
34,gini,,2,5,0.0,balanced,Stratified K-Fold (5),0.429
34,gini,,2,5,0.0,balanced,Leave-One-Out,0.541
34,gini,,2,5,0.0,balanced,K-Fold (10),0.558
34,gini,,2,5,0.0,balanced,Stratified K-Fold (10),0.508
35,gini,,2,5,0.001,,K-Fold (5),0.439
35,gini,,2,5,0.001,,Stratified K-Fold (5),0.429
35,gini,,2,5,0.001,,Leave-One-Out,0.541
35,gini,,2,5,0.001,,K-Fold (10),0.558
35,gini,,2,5,0.001,,Stratified K-Fold (10),0.533
36,gini,,2,5,0.001,balanced,K-Fold (5),0.514
36,gini,,2,5,0.001,balanced,Stratified K-Fold (5),0.429
36,gini,,2,5,0.001,balanced,Leave-One-Out,0.541
36,gini,,2,5,0.001,balanced,K-Fold (10),0.558
36,gini,,2,5,0.001,balanced,Stratified K-Fold (10),0.508
37,gini,,2,5,0.01,,K-Fold (5),0.464
37,gini,,2,5,0.01,,Stratified K-Fold (5),0.429
37,gini,,2,5,0.01,,Leave-One-Out,0.541
37,gini,,2,5,0.01,,K-Fold (10),0.558
37,gini,,2,5,0.01,,Stratified K-Fold (10),0.533
38,gini,,2,5,0.01,balanced,K-Fold (5),0.489
38,gini,,2,5,0.01,balanced,Stratified K-Fold (5),0.429
38,gini,,2,5,0.01,balanced,Leave-One-Out,0.541
38,gini,,2,5,0.01,balanced,K-Fold (10),0.558
38,gini,,2,5,0.01,balanced,Stratified K-Fold (10),0.508
39,gini,,2,5,0.1,,K-Fold (5),0.379
39,gini,,2,5,0.1,,Stratified K-Fold (5),0.407
39,gini,,2,5,0.1,,Leave-One-Out,0.0
39,gini,,2,5,0.1,,K-Fold (10),0.242
39,gini,,2,5,0.1,,Stratified K-Fold (10),0.425
40,gini,,2,5,0.1,balanced,K-Fold (5),0.379
40,gini,,2,5,0.1,balanced,Stratified K-Fold (5),0.407
40,gini,,2,5,0.1,balanced,Leave-One-Out,0.378
40,gini,,2,5,0.1,balanced,K-Fold (10),0.375
40,gini,,2,5,0.1,balanced,Stratified K-Fold (10),0.425
41,gini,,3,1,0.0,,K-Fold (5),0.514
41,gini,,3,1,0.0,,Stratified K-Fold (5),0.371
41,gini,,3,1,0.0,,Leave-One-Out,0.595
41,gini,,3,1,0.0,,K-Fold (10),0.533
41,gini,,3,1,0.0,,Stratified K-Fold (10),0.55
42,gini,,3,1,0.0,balanced,K-Fold (5),0.593
42,gini,,3,1,0.0,balanced,Stratified K-Fold (5),0.371
42,gini,,3,1,0.0,balanced,Leave-One-Out,0.568
42,gini,,3,1,0.0,balanced,K-Fold (10),0.558
42,gini,,3,1,0.0,balanced,Stratified K-Fold (10),0.525
43,gini,,3,1,0.001,,K-Fold (5),0.514
43,gini,,3,1,0.001,,Stratified K-Fold (5),0.371
43,gini,,3,1,0.001,,Leave-One-Out,0.595
43,gini,,3,1,0.001,,K-Fold (10),0.533
43,gini,,3,1,0.001,,Stratified K-Fold (10),0.55
44,gini,,3,1,0.001,balanced,K-Fold (5),0.593
44,gini,,3,1,0.001,balanced,Stratified K-Fold (5),0.371
44,gini,,3,1,0.001,balanced,Leave-One-Out,0.568
44,gini,,3,1,0.001,balanced,K-Fold (10),0.558
44,gini,,3,1,0.001,balanced,Stratified K-Fold (10),0.525
45,gini,,3,1,0.01,,K-Fold (5),0.514
45,gini,,3,1,0.01,,Stratified K-Fold (5),0.371
45,gini,,3,1,0.01,,Leave-One-Out,0.595
45,gini,,3,1,0.01,,K-Fold (10),0.533
45,gini,,3,1,0.01,,Stratified K-Fold (10),0.55
46,gini,,3,1,0.01,balanced,K-Fold (5),0.593
46,gini,,3,1,0.01,balanced,Stratified K-Fold (5),0.371
46,gini,,3,1,0.01,balanced,Leave-One-Out,0.568
46,gini,,3,1,0.01,balanced,K-Fold (10),0.558
46,gini,,3,1,0.01,balanced,Stratified K-Fold (10),0.525
47,gini,,3,1,0.1,,K-Fold (5),0.379
47,gini,,3,1,0.1,,Stratified K-Fold (5),0.407
47,gini,,3,1,0.1,,Leave-One-Out,0.0
47,gini,,3,1,0.1,,K-Fold (10),0.242
47,gini,,3,1,0.1,,Stratified K-Fold (10),0.425
48,gini,,3,1,0.1,balanced,K-Fold (5),0.379
48,gini,,3,1,0.1,balanced,Stratified K-Fold (5),0.407
48,gini,,3,1,0.1,balanced,Leave-One-Out,0.378
48,gini,,3,1,0.1,balanced,K-Fold (10),0.375
48,gini,,3,1,0.1,balanced,Stratified K-Fold (10),0.425
49,gini,,3,2,0.0,,K-Fold (5),0.546
49,gini,,3,2,0.0,,Stratified K-Fold (5),0.4
49,gini,,3,2,0.0,,Leave-One-Out,0.595
49,gini,,3,2,0.0,,K-Fold (10),0.617
49,gini,,3,2,0.0,,Stratified K-Fold (10),0.542
50,gini,,3,2,0.0,balanced,K-Fold (5),0.596
50,gini,,3,2,0.0,balanced,Stratified K-Fold (5),0.4
50,gini,,3,2,0.0,balanced,Leave-One-Out,0.568
50,gini,,3,2,0.0,balanced,K-Fold (10),0.617
50,gini,,3,2,0.0,balanced,Stratified K-Fold (10),0.492
51,gini,,3,2,0.001,,K-Fold (5),0.546
51,gini,,3,2,0.001,,Stratified K-Fold (5),0.4
51,gini,,3,2,0.001,,Leave-One-Out,0.595
51,gini,,3,2,0.001,,K-Fold (10),0.617
51,gini,,3,2,0.001,,Stratified K-Fold (10),0.542
52,gini,,3,2,0.001,balanced,K-Fold (5),0.596
52,gini,,3,2,0.001,balanced,Stratified K-Fold (5),0.4
52,gini,,3,2,0.001,balanced,Leave-One-Out,0.568
52,gini,,3,2,0.001,balanced,K-Fold (10),0.617
52,gini,,3,2,0.001,balanced,Stratified K-Fold (10),0.492
53,gini,,3,2,0.01,,K-Fold (5),0.546
53,gini,,3,2,0.01,,Stratified K-Fold (5),0.4
53,gini,,3,2,0.01,,Leave-One-Out,0.595
53,gini,,3,2,0.01,,K-Fold (10),0.617
