No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.532
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.514
1,gini,,2,1,0.0,,Leave-One-Out,0.622
1,gini,,2,1,0.0,,K-Fold (10),0.608
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.6
2,gini,,2,1,0.0,balanced,K-Fold (5),0.611
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.514
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.622
2,gini,,2,1,0.0,balanced,K-Fold (10),0.608
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.6
3,gini,,2,1,0.001,,K-Fold (5),0.532
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.514
3,gini,,2,1,0.001,,Leave-One-Out,0.622
3,gini,,2,1,0.001,,K-Fold (10),0.608
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.6
4,gini,,2,1,0.001,balanced,K-Fold (5),0.611
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.514
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.622
4,gini,,2,1,0.001,balanced,K-Fold (10),0.608
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.6
5,gini,,2,1,0.01,,K-Fold (5),0.532
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.514
5,gini,,2,1,0.01,,Leave-One-Out,0.622
5,gini,,2,1,0.01,,K-Fold (10),0.608
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.6
6,gini,,2,1,0.01,balanced,K-Fold (5),0.611
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.514
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.622
6,gini,,2,1,0.01,balanced,K-Fold (10),0.608
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.6
7,gini,,2,1,0.1,,K-Fold (5),0.429
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.436
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.267
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.425
8,gini,,2,1,0.1,balanced,K-Fold (5),0.429
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.436
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.378
8,gini,,2,1,0.1,balanced,K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.425
9,gini,,2,2,0.0,,K-Fold (5),0.539
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.486
9,gini,,2,2,0.0,,Leave-One-Out,0.568
9,gini,,2,2,0.0,,K-Fold (10),0.625
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.575
10,gini,,2,2,0.0,balanced,K-Fold (5),0.539
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.486
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.541
10,gini,,2,2,0.0,balanced,K-Fold (10),0.625
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.575
11,gini,,2,2,0.001,,K-Fold (5),0.539
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.486
11,gini,,2,2,0.001,,Leave-One-Out,0.568
11,gini,,2,2,0.001,,K-Fold (10),0.625
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.575
12,gini,,2,2,0.001,balanced,K-Fold (5),0.539
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.486
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.541
12,gini,,2,2,0.001,balanced,K-Fold (10),0.625
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.575
13,gini,,2,2,0.01,,K-Fold (5),0.539
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.486
13,gini,,2,2,0.01,,Leave-One-Out,0.568
13,gini,,2,2,0.01,,K-Fold (10),0.558
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.575
14,gini,,2,2,0.01,balanced,K-Fold (5),0.539
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.486
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.541
14,gini,,2,2,0.01,balanced,K-Fold (10),0.625
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.575
15,gini,,2,2,0.1,,K-Fold (5),0.429
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.436
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.267
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.425
16,gini,,2,2,0.1,balanced,K-Fold (5),0.429
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.436
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.378
16,gini,,2,2,0.1,balanced,K-Fold (10),0.4
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.425
17,gini,,2,3,0.0,,K-Fold (5),0.532
