No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.564
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.707
1,gini,,2,1,0.0,,Leave-One-Out,0.649
1,gini,,2,1,0.0,,K-Fold (10),0.508
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.608
2,gini,,2,1,0.0,balanced,K-Fold (5),0.564
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.707
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.649
2,gini,,2,1,0.0,balanced,K-Fold (10),0.542
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.583
3,gini,,2,1,0.001,,K-Fold (5),0.564
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.707
3,gini,,2,1,0.001,,Leave-One-Out,0.649
3,gini,,2,1,0.001,,K-Fold (10),0.508
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.608
4,gini,,2,1,0.001,balanced,K-Fold (5),0.564
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.707
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.649
4,gini,,2,1,0.001,balanced,K-Fold (10),0.542
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.583
5,gini,,2,1,0.01,,K-Fold (5),0.564
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.707
5,gini,,2,1,0.01,,Leave-One-Out,0.649
5,gini,,2,1,0.01,,K-Fold (10),0.508
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.608
6,gini,,2,1,0.01,balanced,K-Fold (5),0.564
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.707
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.649
6,gini,,2,1,0.01,balanced,K-Fold (10),0.542
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.583
7,gini,,2,1,0.1,,K-Fold (5),0.486
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.35
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.475
8,gini,,2,1,0.1,balanced,K-Fold (5),0.486
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.511
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.433
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.483
9,gini,,2,2,0.0,,K-Fold (5),0.489
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.543
9,gini,,2,2,0.0,,Leave-One-Out,0.432
9,gini,,2,2,0.0,,K-Fold (10),0.408
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.442
10,gini,,2,2,0.0,balanced,K-Fold (5),0.614
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.543
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.432
10,gini,,2,2,0.0,balanced,K-Fold (10),0.533
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.5
11,gini,,2,2,0.001,,K-Fold (5),0.489
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.543
11,gini,,2,2,0.001,,Leave-One-Out,0.432
11,gini,,2,2,0.001,,K-Fold (10),0.408
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.442
12,gini,,2,2,0.001,balanced,K-Fold (5),0.614
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.543
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.432
12,gini,,2,2,0.001,balanced,K-Fold (10),0.533
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.5
13,gini,,2,2,0.01,,K-Fold (5),0.489
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.543
13,gini,,2,2,0.01,,Leave-One-Out,0.432
13,gini,,2,2,0.01,,K-Fold (10),0.408
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.442
14,gini,,2,2,0.01,balanced,K-Fold (5),0.614
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.543
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.432
14,gini,,2,2,0.01,balanced,K-Fold (10),0.533
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.5
15,gini,,2,2,0.1,,K-Fold (5),0.486
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.511
