No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.643
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.671
1,gini,,2,1,0.0,,Leave-One-Out,0.541
1,gini,,2,1,0.0,,K-Fold (10),0.55
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.583
2,gini,,2,1,0.0,balanced,K-Fold (5),0.643
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.671
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.568
2,gini,,2,1,0.0,balanced,K-Fold (10),0.6
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.558
3,gini,,2,1,0.001,,K-Fold (5),0.643
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.671
3,gini,,2,1,0.001,,Leave-One-Out,0.541
3,gini,,2,1,0.001,,K-Fold (10),0.55
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.583
4,gini,,2,1,0.001,balanced,K-Fold (5),0.643
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.671
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.568
4,gini,,2,1,0.001,balanced,K-Fold (10),0.6
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.558
5,gini,,2,1,0.01,,K-Fold (5),0.643
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.671
5,gini,,2,1,0.01,,Leave-One-Out,0.541
5,gini,,2,1,0.01,,K-Fold (10),0.55
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.583
6,gini,,2,1,0.01,balanced,K-Fold (5),0.643
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.671
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.568
6,gini,,2,1,0.01,balanced,K-Fold (10),0.6
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.558
7,gini,,2,1,0.1,,K-Fold (5),0.514
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.383
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.558
8,gini,,2,1,0.1,balanced,K-Fold (5),0.514
