No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.482
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.593
1,gini,,2,1,0.0,,Leave-One-Out,0.595
1,gini,,2,1,0.0,,K-Fold (10),0.5
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.583
2,gini,,2,1,0.0,balanced,K-Fold (5),0.482
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.593
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.595
2,gini,,2,1,0.0,balanced,K-Fold (10),0.5
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.558
3,gini,,2,1,0.001,,K-Fold (5),0.482
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.593
3,gini,,2,1,0.001,,Leave-One-Out,0.595
3,gini,,2,1,0.001,,K-Fold (10),0.5
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.583
4,gini,,2,1,0.001,balanced,K-Fold (5),0.482
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.593
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.595
4,gini,,2,1,0.001,balanced,K-Fold (10),0.5
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.558
5,gini,,2,1,0.01,,K-Fold (5),0.482
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.593
5,gini,,2,1,0.01,,Leave-One-Out,0.595
5,gini,,2,1,0.01,,K-Fold (10),0.5
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.583
6,gini,,2,1,0.01,balanced,K-Fold (5),0.482
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.593
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.595
6,gini,,2,1,0.01,balanced,K-Fold (10),0.5
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.558
7,gini,,2,1,0.1,,K-Fold (5),0.457
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.383
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.558
8,gini,,2,1,0.1,balanced,K-Fold (5),0.457
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.511
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.533
9,gini,,2,2,0.0,,K-Fold (5),0.507
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.621
9,gini,,2,2,0.0,,Leave-One-Out,0.541
9,gini,,2,2,0.0,,K-Fold (10),0.375
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.475
10,gini,,2,2,0.0,balanced,K-Fold (5),0.482
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.621
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.541
10,gini,,2,2,0.0,balanced,K-Fold (10),0.55
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.45
11,gini,,2,2,0.001,,K-Fold (5),0.507
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.621
11,gini,,2,2,0.001,,Leave-One-Out,0.541
11,gini,,2,2,0.001,,K-Fold (10),0.375
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.475
12,gini,,2,2,0.001,balanced,K-Fold (5),0.482
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.621
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.541
12,gini,,2,2,0.001,balanced,K-Fold (10),0.55
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.45
13,gini,,2,2,0.01,,K-Fold (5),0.482
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.621
13,gini,,2,2,0.01,,Leave-One-Out,0.541
13,gini,,2,2,0.01,,K-Fold (10),0.375
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.475
14,gini,,2,2,0.01,balanced,K-Fold (5),0.482
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.621
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.541
14,gini,,2,2,0.01,balanced,K-Fold (10),0.55
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.45
15,gini,,2,2,0.1,,K-Fold (5),0.457
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.511
15,gini,,2,2,0.1,,Leave-One-Out,0.676
15,gini,,2,2,0.1,,K-Fold (10),0.383
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.558
16,gini,,2,2,0.1,balanced,K-Fold (5),0.457
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.511
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.676
16,gini,,2,2,0.1,balanced,K-Fold (10),0.467
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.533
17,gini,,2,3,0.0,,K-Fold (5),0.489
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.675
17,gini,,2,3,0.0,,Leave-One-Out,0.649
17,gini,,2,3,0.0,,K-Fold (10),0.45
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.5
18,gini,,2,3,0.0,balanced,K-Fold (5),0.489
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.675
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.568
18,gini,,2,3,0.0,balanced,K-Fold (10),0.5
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.475
19,gini,,2,3,0.001,,K-Fold (5),0.489
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.675
19,gini,,2,3,0.001,,Leave-One-Out,0.649
19,gini,,2,3,0.001,,K-Fold (10),0.45
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.5
20,gini,,2,3,0.001,balanced,K-Fold (5),0.489
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.675
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.568
20,gini,,2,3,0.001,balanced,K-Fold (10),0.5
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.475
21,gini,,2,3,0.01,,K-Fold (5),0.489
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.675
21,gini,,2,3,0.01,,Leave-One-Out,0.649
21,gini,,2,3,0.01,,K-Fold (10),0.45
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.475
22,gini,,2,3,0.01,balanced,K-Fold (5),0.489
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.675
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.568
22,gini,,2,3,0.01,balanced,K-Fold (10),0.5
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.45
23,gini,,2,3,0.1,,K-Fold (5),0.457
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.511
23,gini,,2,3,0.1,,Leave-One-Out,0.676
23,gini,,2,3,0.1,,K-Fold (10),0.383
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.558
24,gini,,2,3,0.1,balanced,K-Fold (5),0.457
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.511
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.676
24,gini,,2,3,0.1,balanced,K-Fold (10),0.467
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.533
25,gini,,2,4,0.0,,K-Fold (5),0.539
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.596
25,gini,,2,4,0.0,,Leave-One-Out,0.595
25,gini,,2,4,0.0,,K-Fold (10),0.45
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.625
26,gini,,2,4,0.0,balanced,K-Fold (5),0.564
26,gini,,2,4,0.0,balanced,Stratified K-Fold (5),0.671
26,gini,,2,4,0.0,balanced,Leave-One-Out,0.568
26,gini,,2,4,0.0,balanced,K-Fold (10),0.508
26,gini,,2,4,0.0,balanced,Stratified K-Fold (10),0.6
27,gini,,2,4,0.001,,K-Fold (5),0.539
27,gini,,2,4,0.001,,Stratified K-Fold (5),0.596
27,gini,,2,4,0.001,,Leave-One-Out,0.595
27,gini,,2,4,0.001,,K-Fold (10),0.45
27,gini,,2,4,0.001,,Stratified K-Fold (10),0.625
28,gini,,2,4,0.001,balanced,K-Fold (5),0.564
28,gini,,2,4,0.001,balanced,Stratified K-Fold (5),0.671
28,gini,,2,4,0.001,balanced,Leave-One-Out,0.568
28,gini,,2,4,0.001,balanced,K-Fold (10),0.508
28,gini,,2,4,0.001,balanced,Stratified K-Fold (10),0.6
29,gini,,2,4,0.01,,K-Fold (5),0.539
29,gini,,2,4,0.01,,Stratified K-Fold (5),0.596
29,gini,,2,4,0.01,,Leave-One-Out,0.595
29,gini,,2,4,0.01,,K-Fold (10),0.45
29,gini,,2,4,0.01,,Stratified K-Fold (10),0.625
30,gini,,2,4,0.01,balanced,K-Fold (5),0.564
30,gini,,2,4,0.01,balanced,Stratified K-Fold (5),0.671
30,gini,,2,4,0.01,balanced,Leave-One-Out,0.568
30,gini,,2,4,0.01,balanced,K-Fold (10),0.508
30,gini,,2,4,0.01,balanced,Stratified K-Fold (10),0.6
31,gini,,2,4,0.1,,K-Fold (5),0.457
31,gini,,2,4,0.1,,Stratified K-Fold (5),0.511
31,gini,,2,4,0.1,,Leave-One-Out,0.676
31,gini,,2,4,0.1,,K-Fold (10),0.383
31,gini,,2,4,0.1,,Stratified K-Fold (10),0.558
32,gini,,2,4,0.1,balanced,K-Fold (5),0.457
32,gini,,2,4,0.1,balanced,Stratified K-Fold (5),0.511
32,gini,,2,4,0.1,balanced,Leave-One-Out,0.676
32,gini,,2,4,0.1,balanced,K-Fold (10),0.467
32,gini,,2,4,0.1,balanced,Stratified K-Fold (10),0.533
33,gini,,2,5,0.0,,K-Fold (5),0.539
33,gini,,2,5,0.0,,Stratified K-Fold (5),0.568
33,gini,,2,5,0.0,,Leave-One-Out,0.568
33,gini,,2,5,0.0,,K-Fold (10),0.533
33,gini,,2,5,0.0,,Stratified K-Fold (10),0.6
34,gini,,2,5,0.0,balanced,K-Fold (5),0.539
34,gini,,2,5,0.0,balanced,Stratified K-Fold (5),0.568
34,gini,,2,5,0.0,balanced,Leave-One-Out,0.568
34,gini,,2,5,0.0,balanced,K-Fold (10),0.558
34,gini,,2,5,0.0,balanced,Stratified K-Fold (10),0.575
35,gini,,2,5,0.001,,K-Fold (5),0.539
35,gini,,2,5,0.001,,Stratified K-Fold (5),0.568
35,gini,,2,5,0.001,,Leave-One-Out,0.568
35,gini,,2,5,0.001,,K-Fold (10),0.533
35,gini,,2,5,0.001,,Stratified K-Fold (10),0.6
36,gini,,2,5,0.001,balanced,K-Fold (5),0.539
36,gini,,2,5,0.001,balanced,Stratified K-Fold (5),0.568
36,gini,,2,5,0.001,balanced,Leave-One-Out,0.568
36,gini,,2,5,0.001,balanced,K-Fold (10),0.558
36,gini,,2,5,0.001,balanced,Stratified K-Fold (10),0.575
37,gini,,2,5,0.01,,K-Fold (5),0.539
37,gini,,2,5,0.01,,Stratified K-Fold (5),0.568
37,gini,,2,5,0.01,,Leave-One-Out,0.568
37,gini,,2,5,0.01,,K-Fold (10),0.533
37,gini,,2,5,0.01,,Stratified K-Fold (10),0.6
38,gini,,2,5,0.01,balanced,K-Fold (5),0.539
38,gini,,2,5,0.01,balanced,Stratified K-Fold (5),0.568
38,gini,,2,5,0.01,balanced,Leave-One-Out,0.568
38,gini,,2,5,0.01,balanced,K-Fold (10),0.558
38,gini,,2,5,0.01,balanced,Stratified K-Fold (10),0.575
39,gini,,2,5,0.1,,K-Fold (5),0.457
39,gini,,2,5,0.1,,Stratified K-Fold (5),0.511
39,gini,,2,5,0.1,,Leave-One-Out,0.676
39,gini,,2,5,0.1,,K-Fold (10),0.383
39,gini,,2,5,0.1,,Stratified K-Fold (10),0.558
40,gini,,2,5,0.1,balanced,K-Fold (5),0.457
40,gini,,2,5,0.1,balanced,Stratified K-Fold (5),0.511
40,gini,,2,5,0.1,balanced,Leave-One-Out,0.676
40,gini,,2,5,0.1,balanced,K-Fold (10),0.467
40,gini,,2,5,0.1,balanced,Stratified K-Fold (10),0.533
41,gini,,3,1,0.0,,K-Fold (5),0.482
41,gini,,3,1,0.0,,Stratified K-Fold (5),0.564
41,gini,,3,1,0.0,,Leave-One-Out,0.595
41,gini,,3,1,0.0,,K-Fold (10),0.45
41,gini,,3,1,0.0,,Stratified K-Fold (10),0.533
42,gini,,3,1,0.0,balanced,K-Fold (5),0.511
42,gini,,3,1,0.0,balanced,Stratified K-Fold (5),0.564
42,gini,,3,1,0.0,balanced,Leave-One-Out,0.595
42,gini,,3,1,0.0,balanced,K-Fold (10),0.55
42,gini,,3,1,0.0,balanced,Stratified K-Fold (10),0.508
43,gini,,3,1,0.001,,K-Fold (5),0.482
43,gini,,3,1,0.001,,Stratified K-Fold (5),0.564
43,gini,,3,1,0.001,,Leave-One-Out,0.595
43,gini,,3,1,0.001,,K-Fold (10),0.45
43,gini,,3,1,0.001,,Stratified K-Fold (10),0.533
