No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.489
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.486
1,gini,,2,1,0.0,,Leave-One-Out,0.432
1,gini,,2,1,0.0,,K-Fold (10),0.442
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.483
2,gini,,2,1,0.0,balanced,K-Fold (5),0.436
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.486
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.432
2,gini,,2,1,0.0,balanced,K-Fold (10),0.442
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.483
3,gini,,2,1,0.001,,K-Fold (5),0.489
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.486
3,gini,,2,1,0.001,,Leave-One-Out,0.432
3,gini,,2,1,0.001,,K-Fold (10),0.442
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.483
4,gini,,2,1,0.001,balanced,K-Fold (5),0.436
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.486
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.432
4,gini,,2,1,0.001,balanced,K-Fold (10),0.442
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.483
5,gini,,2,1,0.01,,K-Fold (5),0.489
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.486
5,gini,,2,1,0.01,,Leave-One-Out,0.432
5,gini,,2,1,0.01,,K-Fold (10),0.442
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.483
6,gini,,2,1,0.01,balanced,K-Fold (5),0.436
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.486
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.432
6,gini,,2,1,0.01,balanced,K-Fold (10),0.442
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.483
7,gini,,2,1,0.1,,K-Fold (5),0.375
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.407
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.325
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,K-Fold (5),0.425
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.407
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.492
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.433
9,gini,,2,2,0.0,,K-Fold (5),0.539
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.489
9,gini,,2,2,0.0,,Leave-One-Out,0.486
9,gini,,2,2,0.0,,K-Fold (10),0.367
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.467
10,gini,,2,2,0.0,balanced,K-Fold (5),0.514
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.489
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.486
10,gini,,2,2,0.0,balanced,K-Fold (10),0.442
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.433
11,gini,,2,2,0.001,,K-Fold (5),0.539
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.489
11,gini,,2,2,0.001,,Leave-One-Out,0.486
11,gini,,2,2,0.001,,K-Fold (10),0.367
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.467
12,gini,,2,2,0.001,balanced,K-Fold (5),0.514
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.489
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.486
12,gini,,2,2,0.001,balanced,K-Fold (10),0.442
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.433
13,gini,,2,2,0.01,,K-Fold (5),0.539
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.489
13,gini,,2,2,0.01,,Leave-One-Out,0.459
13,gini,,2,2,0.01,,K-Fold (10),0.367
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.467
14,gini,,2,2,0.01,balanced,K-Fold (5),0.457
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.489
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.459
14,gini,,2,2,0.01,balanced,K-Fold (10),0.442
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.433
15,gini,,2,2,0.1,,K-Fold (5),0.375
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.407
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.325
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.4
16,gini,,2,2,0.1,balanced,K-Fold (5),0.425
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.407
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.486
