No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.507
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.379
1,gini,,2,1,0.0,,Leave-One-Out,0.405
1,gini,,2,1,0.0,,K-Fold (10),0.433
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.408
2,gini,,2,1,0.0,balanced,K-Fold (5),0.507
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.379
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.405
2,gini,,2,1,0.0,balanced,K-Fold (10),0.408
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.433
3,gini,,2,1,0.001,,K-Fold (5),0.507
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.379
3,gini,,2,1,0.001,,Leave-One-Out,0.405
3,gini,,2,1,0.001,,K-Fold (10),0.433
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.408
4,gini,,2,1,0.001,balanced,K-Fold (5),0.507
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.379
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.405
4,gini,,2,1,0.001,balanced,K-Fold (10),0.408
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.433
5,gini,,2,1,0.01,,K-Fold (5),0.507
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.379
5,gini,,2,1,0.01,,Leave-One-Out,0.405
5,gini,,2,1,0.01,,K-Fold (10),0.433
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.408
6,gini,,2,1,0.01,balanced,K-Fold (5),0.507
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.379
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.405
6,gini,,2,1,0.01,balanced,K-Fold (10),0.408
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.433
7,gini,,2,1,0.1,,K-Fold (5),0.354
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.379
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.3
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,K-Fold (5),0.404
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.379
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.433
9,gini,,2,2,0.0,,K-Fold (5),0.457
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.329
9,gini,,2,2,0.0,,Leave-One-Out,0.432
9,gini,,2,2,0.0,,K-Fold (10),0.383
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.417
10,gini,,2,2,0.0,balanced,K-Fold (5),0.482
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.329
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.405
10,gini,,2,2,0.0,balanced,K-Fold (10),0.408
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.417
11,gini,,2,2,0.001,,K-Fold (5),0.457
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.329
11,gini,,2,2,0.001,,Leave-One-Out,0.432
11,gini,,2,2,0.001,,K-Fold (10),0.383
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.417
12,gini,,2,2,0.001,balanced,K-Fold (5),0.482
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.329
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.405
12,gini,,2,2,0.001,balanced,K-Fold (10),0.408
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.417
13,gini,,2,2,0.01,,K-Fold (5),0.457
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.329
13,gini,,2,2,0.01,,Leave-One-Out,0.432
13,gini,,2,2,0.01,,K-Fold (10),0.383
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.417
14,gini,,2,2,0.01,balanced,K-Fold (5),0.482
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.329
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.405
14,gini,,2,2,0.01,balanced,K-Fold (10),0.408
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.417
15,gini,,2,2,0.1,,K-Fold (5),0.354
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.379
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.3
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.4
16,gini,,2,2,0.1,balanced,K-Fold (5),0.404
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.379
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.486
16,gini,,2,2,0.1,balanced,K-Fold (10),0.467
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.433
17,gini,,2,3,0.0,,K-Fold (5),0.461
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.414
17,gini,,2,3,0.0,,Leave-One-Out,0.324
17,gini,,2,3,0.0,,K-Fold (10),0.367
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.4
18,gini,,2,3,0.0,balanced,K-Fold (5),0.436
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.414
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.297
18,gini,,2,3,0.0,balanced,K-Fold (10),0.367
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.4
19,gini,,2,3,0.001,,K-Fold (5),0.461
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.414
19,gini,,2,3,0.001,,Leave-One-Out,0.324
19,gini,,2,3,0.001,,K-Fold (10),0.367
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.4
20,gini,,2,3,0.001,balanced,K-Fold (5),0.436
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.414
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.297
20,gini,,2,3,0.001,balanced,K-Fold (10),0.367
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.4
21,gini,,2,3,0.01,,K-Fold (5),0.461
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.414
21,gini,,2,3,0.01,,Leave-One-Out,0.351
21,gini,,2,3,0.01,,K-Fold (10),0.4
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.4
22,gini,,2,3,0.01,balanced,K-Fold (5),0.436
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.414
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.324
22,gini,,2,3,0.01,balanced,K-Fold (10),0.4
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.4
23,gini,,2,3,0.1,,K-Fold (5),0.354
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.379
23,gini,,2,3,0.1,,Leave-One-Out,0.0
23,gini,,2,3,0.1,,K-Fold (10),0.3
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.4
24,gini,,2,3,0.1,balanced,K-Fold (5),0.404
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.379
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.486
24,gini,,2,3,0.1,balanced,K-Fold (10),0.467
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.433
25,gini,,2,4,0.0,,K-Fold (5),0.464
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.468
25,gini,,2,4,0.0,,Leave-One-Out,0.595
25,gini,,2,4,0.0,,K-Fold (10),0.533
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.467
26,gini,,2,4,0.0,balanced,K-Fold (5),0.464
26,gini,,2,4,0.0,balanced,Stratified K-Fold (5),0.496
26,gini,,2,4,0.0,balanced,Leave-One-Out,0.568
26,gini,,2,4,0.0,balanced,K-Fold (10),0.533
26,gini,,2,4,0.0,balanced,Stratified K-Fold (10),0.467
27,gini,,2,4,0.001,,K-Fold (5),0.464
27,gini,,2,4,0.001,,Stratified K-Fold (5),0.468
27,gini,,2,4,0.001,,Leave-One-Out,0.595
27,gini,,2,4,0.001,,K-Fold (10),0.533
27,gini,,2,4,0.001,,Stratified K-Fold (10),0.467
28,gini,,2,4,0.001,balanced,K-Fold (5),0.464
28,gini,,2,4,0.001,balanced,Stratified K-Fold (5),0.496
28,gini,,2,4,0.001,balanced,Leave-One-Out,0.568
28,gini,,2,4,0.001,balanced,K-Fold (10),0.533
28,gini,,2,4,0.001,balanced,Stratified K-Fold (10),0.467
29,gini,,2,4,0.01,,K-Fold (5),0.464
29,gini,,2,4,0.01,,Stratified K-Fold (5),0.496
29,gini,,2,4,0.01,,Leave-One-Out,0.514
29,gini,,2,4,0.01,,K-Fold (10),0.558
29,gini,,2,4,0.01,,Stratified K-Fold (10),0.467
30,gini,,2,4,0.01,balanced,K-Fold (5),0.464
30,gini,,2,4,0.01,balanced,Stratified K-Fold (5),0.496
30,gini,,2,4,0.01,balanced,Leave-One-Out,0.486
30,gini,,2,4,0.01,balanced,K-Fold (10),0.558
30,gini,,2,4,0.01,balanced,Stratified K-Fold (10),0.467
31,gini,,2,4,0.1,,K-Fold (5),0.354
