No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.543
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.646
1,gini,,2,1,0.0,,Leave-One-Out,0.676
1,gini,,2,1,0.0,,K-Fold (10),0.558
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.667
2,gini,,2,1,0.0,balanced,K-Fold (5),0.543
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.646
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.649
2,gini,,2,1,0.0,balanced,K-Fold (10),0.558
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.642
3,gini,,2,1,0.001,,K-Fold (5),0.543
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.646
3,gini,,2,1,0.001,,Leave-One-Out,0.676
3,gini,,2,1,0.001,,K-Fold (10),0.558
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.667
4,gini,,2,1,0.001,balanced,K-Fold (5),0.543
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.646
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.649
4,gini,,2,1,0.001,balanced,K-Fold (10),0.558
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.642
5,gini,,2,1,0.01,,K-Fold (5),0.543
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.646
5,gini,,2,1,0.01,,Leave-One-Out,0.676
5,gini,,2,1,0.01,,K-Fold (10),0.558
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.667
6,gini,,2,1,0.01,balanced,K-Fold (5),0.543
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.646
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.649
6,gini,,2,1,0.01,balanced,K-Fold (10),0.558
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.642
7,gini,,2,1,0.1,,K-Fold (5),0.439
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.383
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.558
8,gini,,2,1,0.1,balanced,K-Fold (5),0.439
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.511
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
