No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.493
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.379
1,gini,,2,1,0.0,,Leave-One-Out,0.378
1,gini,,2,1,0.0,,K-Fold (10),0.45
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.442
2,gini,,2,1,0.0,balanced,K-Fold (5),0.464
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.379
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.405
2,gini,,2,1,0.0,balanced,K-Fold (10),0.4
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.417
3,gini,,2,1,0.001,,K-Fold (5),0.493
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.379
3,gini,,2,1,0.001,,Leave-One-Out,0.378
3,gini,,2,1,0.001,,K-Fold (10),0.45
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.442
4,gini,,2,1,0.001,balanced,K-Fold (5),0.464
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.379
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.405
4,gini,,2,1,0.001,balanced,K-Fold (10),0.4
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.417
5,gini,,2,1,0.01,,K-Fold (5),0.493
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.379
5,gini,,2,1,0.01,,Leave-One-Out,0.378
5,gini,,2,1,0.01,,K-Fold (10),0.45
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.442
6,gini,,2,1,0.01,balanced,K-Fold (5),0.464
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.379
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.405
6,gini,,2,1,0.01,balanced,K-Fold (10),0.4
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.417
7,gini,,2,1,0.1,,K-Fold (5),0.354
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.379
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.3
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,K-Fold (5),0.404
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.379
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.433
9,gini,,2,2,0.0,,K-Fold (5),0.382
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.3
9,gini,,2,2,0.0,,Leave-One-Out,0.324
9,gini,,2,2,0.0,,K-Fold (10),0.358
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.392
10,gini,,2,2,0.0,balanced,K-Fold (5),0.407
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.3
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.378
10,gini,,2,2,0.0,balanced,K-Fold (10),0.383
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.367
11,gini,,2,2,0.001,,K-Fold (5),0.382
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.3
11,gini,,2,2,0.001,,Leave-One-Out,0.324
11,gini,,2,2,0.001,,K-Fold (10),0.358
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.392
12,gini,,2,2,0.001,balanced,K-Fold (5),0.407
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.3
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.378
12,gini,,2,2,0.001,balanced,K-Fold (10),0.383
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.367
13,gini,,2,2,0.01,,K-Fold (5),0.382
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.3
13,gini,,2,2,0.01,,Leave-One-Out,0.324
13,gini,,2,2,0.01,,K-Fold (10),0.358
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.358
14,gini,,2,2,0.01,balanced,K-Fold (5),0.407
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.3
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.378
14,gini,,2,2,0.01,balanced,K-Fold (10),0.383
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.333
15,gini,,2,2,0.1,,K-Fold (5),0.354
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.379
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.3
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.4
16,gini,,2,2,0.1,balanced,K-Fold (5),0.404
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.379
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.486
16,gini,,2,2,0.1,balanced,K-Fold (10),0.467
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.433
17,gini,,2,3,0.0,,K-Fold (5),0.407
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.357
17,gini,,2,3,0.0,,Leave-One-Out,0.432
17,gini,,2,3,0.0,,K-Fold (10),0.45
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.383
18,gini,,2,3,0.0,balanced,K-Fold (5),0.407
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.357
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.405
18,gini,,2,3,0.0,balanced,K-Fold (10),0.45
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.35
19,gini,,2,3,0.001,,K-Fold (5),0.407
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.357
19,gini,,2,3,0.001,,Leave-One-Out,0.432
19,gini,,2,3,0.001,,K-Fold (10),0.45
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.383
20,gini,,2,3,0.001,balanced,K-Fold (5),0.407
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.357
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.405
20,gini,,2,3,0.001,balanced,K-Fold (10),0.45
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.35
21,gini,,2,3,0.01,,K-Fold (5),0.407
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.357
21,gini,,2,3,0.01,,Leave-One-Out,0.432
21,gini,,2,3,0.01,,K-Fold (10),0.45
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.383
22,gini,,2,3,0.01,balanced,K-Fold (5),0.407
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.357
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.405
22,gini,,2,3,0.01,balanced,K-Fold (10),0.45
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.35
23,gini,,2,3,0.1,,K-Fold (5),0.354
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.379
23,gini,,2,3,0.1,,Leave-One-Out,0.0
23,gini,,2,3,0.1,,K-Fold (10),0.3
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.4
24,gini,,2,3,0.1,balanced,K-Fold (5),0.404
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.379
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.486
24,gini,,2,3,0.1,balanced,K-Fold (10),0.467
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.433
