No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.953
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.974
1,gini,,2,1,0.0,,Leave-One-Out,0.968
1,gini,,2,1,0.0,,K-Fold (10),0.961
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.955
2,gini,,2,1,0.0,balanced,K-Fold (5),0.955
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.974
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.971
2,gini,,2,1,0.0,balanced,K-Fold (10),0.958
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.955
3,gini,,2,1,0.001,,K-Fold (5),0.953
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.974
3,gini,,2,1,0.001,,Leave-One-Out,0.968
3,gini,,2,1,0.001,,K-Fold (10),0.961
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.955
4,gini,,2,1,0.001,balanced,K-Fold (5),0.955
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.974
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.971
4,gini,,2,1,0.001,balanced,K-Fold (10),0.958
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.955
5,gini,,2,1,0.01,,K-Fold (5),0.945
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.961
5,gini,,2,1,0.01,,Leave-One-Out,0.937
5,gini,,2,1,0.01,,K-Fold (10),0.926
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.942
6,gini,,2,1,0.01,balanced,K-Fold (5),0.945
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.961
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.955
6,gini,,2,1,0.01,balanced,K-Fold (10),0.934
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.942
7,gini,,2,1,0.1,,K-Fold (5),0.442
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.5
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.437
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.5
8,gini,,2,1,0.1,balanced,K-Fold (5),0.542
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.5
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.0
8,gini,,2,1,0.1,balanced,K-Fold (10),0.463
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.5
9,gini,,2,2,0.0,,K-Fold (5),0.953
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.961
9,gini,,2,2,0.0,,Leave-One-Out,0.963
9,gini,,2,2,0.0,,K-Fold (10),0.953
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.947
10,gini,,2,2,0.0,balanced,K-Fold (5),0.953
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.961
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.976
10,gini,,2,2,0.0,balanced,K-Fold (10),0.95
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.947
11,gini,,2,2,0.001,,K-Fold (5),0.953
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.961
11,gini,,2,2,0.001,,Leave-One-Out,0.963
11,gini,,2,2,0.001,,K-Fold (10),0.953
