No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.995
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.987
1,gini,,2,1,0.0,,Leave-One-Out,0.989
1,gini,,2,1,0.0,,K-Fold (10),0.997
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.982
2,gini,,2,1,0.0,balanced,K-Fold (5),0.992
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.987
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.995
2,gini,,2,1,0.0,balanced,K-Fold (10),0.997
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.982
3,gini,,2,1,0.001,,K-Fold (5),0.995
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.987
3,gini,,2,1,0.001,,Leave-One-Out,0.989
3,gini,,2,1,0.001,,K-Fold (10),0.997
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.982
4,gini,,2,1,0.001,balanced,K-Fold (5),0.992
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.987
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.995
4,gini,,2,1,0.001,balanced,K-Fold (10),0.997
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.982
5,gini,,2,1,0.01,,K-Fold (5),0.979
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.982
5,gini,,2,1,0.01,,Leave-One-Out,0.976
5,gini,,2,1,0.01,,K-Fold (10),0.979
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.979
6,gini,,2,1,0.01,balanced,K-Fold (5),0.976
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.982
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.979
6,gini,,2,1,0.01,balanced,K-Fold (10),0.979
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.979
7,gini,,2,1,0.1,,K-Fold (5),0.442
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.5
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.437
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.5
8,gini,,2,1,0.1,balanced,K-Fold (5),0.542
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.5
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.0
8,gini,,2,1,0.1,balanced,K-Fold (10),0.463
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.5
9,gini,,2,2,0.0,,K-Fold (5),0.995
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.984
9,gini,,2,2,0.0,,Leave-One-Out,0.987
9,gini,,2,2,0.0,,K-Fold (10),0.997
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.979
10,gini,,2,2,0.0,balanced,K-Fold (5),0.992
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.984
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.995
10,gini,,2,2,0.0,balanced,K-Fold (10),0.997
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.979
11,gini,,2,2,0.001,,K-Fold (5),0.995
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.984
11,gini,,2,2,0.001,,Leave-One-Out,0.987
11,gini,,2,2,0.001,,K-Fold (10),0.997
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.979
12,gini,,2,2,0.001,balanced,K-Fold (5),0.992
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.984
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.995
12,gini,,2,2,0.001,balanced,K-Fold (10),0.997
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.979
13,gini,,2,2,0.01,,K-Fold (5),0.979
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.982
13,gini,,2,2,0.01,,Leave-One-Out,0.976
13,gini,,2,2,0.01,,K-Fold (10),0.979
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.979
14,gini,,2,2,0.01,balanced,K-Fold (5),0.976
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.982
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.979
14,gini,,2,2,0.01,balanced,K-Fold (10),0.979
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.979
15,gini,,2,2,0.1,,K-Fold (5),0.442
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.5
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.437
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.5
16,gini,,2,2,0.1,balanced,K-Fold (5),0.542
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.5
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.0
16,gini,,2,2,0.1,balanced,K-Fold (10),0.463
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.5
17,gini,,2,3,0.0,,K-Fold (5),0.987
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.984
17,gini,,2,3,0.0,,Leave-One-Out,0.984
17,gini,,2,3,0.0,,K-Fold (10),0.992
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.979
18,gini,,2,3,0.0,balanced,K-Fold (5),0.982
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.984
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.987
18,gini,,2,3,0.0,balanced,K-Fold (10),0.992
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.979
19,gini,,2,3,0.001,,K-Fold (5),0.987
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.984
19,gini,,2,3,0.001,,Leave-One-Out,0.984
19,gini,,2,3,0.001,,K-Fold (10),0.992
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.979
20,gini,,2,3,0.001,balanced,K-Fold (5),0.982
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.984
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.987
20,gini,,2,3,0.001,balanced,K-Fold (10),0.992
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.979
21,gini,,2,3,0.01,,K-Fold (5),0.974
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.976
21,gini,,2,3,0.01,,Leave-One-Out,0.976
21,gini,,2,3,0.01,,K-Fold (10),0.979
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.976
22,gini,,2,3,0.01,balanced,K-Fold (5),0.971
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.976
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.979
22,gini,,2,3,0.01,balanced,K-Fold (10),0.979
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.976
23,gini,,2,3,0.1,,K-Fold (5),0.442
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.5
23,gini,,2,3,0.1,,Leave-One-Out,0.0
23,gini,,2,3,0.1,,K-Fold (10),0.437
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.5
24,gini,,2,3,0.1,balanced,K-Fold (5),0.542
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.5
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.0
24,gini,,2,3,0.1,balanced,K-Fold (10),0.463
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.5
25,gini,,2,4,0.0,,K-Fold (5),0.974
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.982
25,gini,,2,4,0.0,,Leave-One-Out,0.979
25,gini,,2,4,0.0,,K-Fold (10),0.982
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.979
26,gini,,2,4,0.0,balanced,K-Fold (5),0.971
26,gini,,2,4,0.0,balanced,Stratified K-Fold (5),0.982
26,gini,,2,4,0.0,balanced,Leave-One-Out,0.982
26,gini,,2,4,0.0,balanced,K-Fold (10),0.982
26,gini,,2,4,0.0,balanced,Stratified K-Fold (10),0.979
27,gini,,2,4,0.001,,K-Fold (5),0.974
27,gini,,2,4,0.001,,Stratified K-Fold (5),0.982
27,gini,,2,4,0.001,,Leave-One-Out,0.979
27,gini,,2,4,0.001,,K-Fold (10),0.982
27,gini,,2,4,0.001,,Stratified K-Fold (10),0.979
28,gini,,2,4,0.001,balanced,K-Fold (5),0.971
28,gini,,2,4,0.001,balanced,Stratified K-Fold (5),0.982
28,gini,,2,4,0.001,balanced,Leave-One-Out,0.982
28,gini,,2,4,0.001,balanced,K-Fold (10),0.982
28,gini,,2,4,0.001,balanced,Stratified K-Fold (10),0.979
29,gini,,2,4,0.01,,K-Fold (5),0.971
29,gini,,2,4,0.01,,Stratified K-Fold (5),0.976
29,gini,,2,4,0.01,,Leave-One-Out,0.976
29,gini,,2,4,0.01,,K-Fold (10),0.976
29,gini,,2,4,0.01,,Stratified K-Fold (10),0.976
30,gini,,2,4,0.01,balanced,K-Fold (5),0.968
30,gini,,2,4,0.01,balanced,Stratified K-Fold (5),0.976
30,gini,,2,4,0.01,balanced,Leave-One-Out,0.979
30,gini,,2,4,0.01,balanced,K-Fold (10),0.974
30,gini,,2,4,0.01,balanced,Stratified K-Fold (10),0.976
31,gini,,2,4,0.1,,K-Fold (5),0.442
31,gini,,2,4,0.1,,Stratified K-Fold (5),0.5
31,gini,,2,4,0.1,,Leave-One-Out,0.0
31,gini,,2,4,0.1,,K-Fold (10),0.437
31,gini,,2,4,0.1,,Stratified K-Fold (10),0.5
32,gini,,2,4,0.1,balanced,K-Fold (5),0.542
32,gini,,2,4,0.1,balanced,Stratified K-Fold (5),0.5
32,gini,,2,4,0.1,balanced,Leave-One-Out,0.0
32,gini,,2,4,0.1,balanced,K-Fold (10),0.463
32,gini,,2,4,0.1,balanced,Stratified K-Fold (10),0.5
33,gini,,2,5,0.0,,K-Fold (5),0.974
33,gini,,2,5,0.0,,Stratified K-Fold (5),0.976
33,gini,,2,5,0.0,,Leave-One-Out,0.976
33,gini,,2,5,0.0,,K-Fold (10),0.979
33,gini,,2,5,0.0,,Stratified K-Fold (10),0.976
34,gini,,2,5,0.0,balanced,K-Fold (5),0.971
34,gini,,2,5,0.0,balanced,Stratified K-Fold (5),0.976
34,gini,,2,5,0.0,balanced,Leave-One-Out,0.979
34,gini,,2,5,0.0,balanced,K-Fold (10),0.976
34,gini,,2,5,0.0,balanced,Stratified K-Fold (10),0.976
35,gini,,2,5,0.001,,K-Fold (5),0.974
35,gini,,2,5,0.001,,Stratified K-Fold (5),0.976
35,gini,,2,5,0.001,,Leave-One-Out,0.976
35,gini,,2,5,0.001,,K-Fold (10),0.979
35,gini,,2,5,0.001,,Stratified K-Fold (10),0.976
36,gini,,2,5,0.001,balanced,K-Fold (5),0.971
36,gini,,2,5,0.001,balanced,Stratified K-Fold (5),0.976
36,gini,,2,5,0.001,balanced,Leave-One-Out,0.979
36,gini,,2,5,0.001,balanced,K-Fold (10),0.976
36,gini,,2,5,0.001,balanced,Stratified K-Fold (10),0.976
37,gini,,2,5,0.01,,K-Fold (5),0.974
37,gini,,2,5,0.01,,Stratified K-Fold (5),0.976
37,gini,,2,5,0.01,,Leave-One-Out,0.976
37,gini,,2,5,0.01,,K-Fold (10),0.974
37,gini,,2,5,0.01,,Stratified K-Fold (10),0.976
38,gini,,2,5,0.01,balanced,K-Fold (5),0.971
38,gini,,2,5,0.01,balanced,Stratified K-Fold (5),0.976
38,gini,,2,5,0.01,balanced,Leave-One-Out,0.979
38,gini,,2,5,0.01,balanced,K-Fold (10),0.974
38,gini,,2,5,0.01,balanced,Stratified K-Fold (10),0.976
39,gini,,2,5,0.1,,K-Fold (5),0.442
39,gini,,2,5,0.1,,Stratified K-Fold (5),0.5
39,gini,,2,5,0.1,,Leave-One-Out,0.0
39,gini,,2,5,0.1,,K-Fold (10),0.437
39,gini,,2,5,0.1,,Stratified K-Fold (10),0.5
40,gini,,2,5,0.1,balanced,K-Fold (5),0.542
40,gini,,2,5,0.1,balanced,Stratified K-Fold (5),0.5
40,gini,,2,5,0.1,balanced,Leave-One-Out,0.0
40,gini,,2,5,0.1,balanced,K-Fold (10),0.463
40,gini,,2,5,0.1,balanced,Stratified K-Fold (10),0.5
41,gini,,3,1,0.0,,K-Fold (5),0.995
41,gini,,3,1,0.0,,Stratified K-Fold (5),0.987
41,gini,,3,1,0.0,,Leave-One-Out,0.989
41,gini,,3,1,0.0,,K-Fold (10),0.997
41,gini,,3,1,0.0,,Stratified K-Fold (10),0.982
42,gini,,3,1,0.0,balanced,K-Fold (5),0.992
42,gini,,3,1,0.0,balanced,Stratified K-Fold (5),0.987
42,gini,,3,1,0.0,balanced,Leave-One-Out,0.995
42,gini,,3,1,0.0,balanced,K-Fold (10),0.997
42,gini,,3,1,0.0,balanced,Stratified K-Fold (10),0.982
43,gini,,3,1,0.001,,K-Fold (5),0.995
43,gini,,3,1,0.001,,Stratified K-Fold (5),0.987
43,gini,,3,1,0.001,,Leave-One-Out,0.989
43,gini,,3,1,0.001,,K-Fold (10),0.997
43,gini,,3,1,0.001,,Stratified K-Fold (10),0.982
44,gini,,3,1,0.001,balanced,K-Fold (5),0.992
44,gini,,3,1,0.001,balanced,Stratified K-Fold (5),0.987
44,gini,,3,1,0.001,balanced,Leave-One-Out,0.995
44,gini,,3,1,0.001,balanced,K-Fold (10),0.997
44,gini,,3,1,0.001,balanced,Stratified K-Fold (10),0.982
45,gini,,3,1,0.01,,K-Fold (5),0.979
45,gini,,3,1,0.01,,Stratified K-Fold (5),0.982
45,gini,,3,1,0.01,,Leave-One-Out,0.976
45,gini,,3,1,0.01,,K-Fold (10),0.979
45,gini,,3,1,0.01,,Stratified K-Fold (10),0.979
46,gini,,3,1,0.01,balanced,K-Fold (5),0.976
46,gini,,3,1,0.01,balanced,Stratified K-Fold (5),0.982
46,gini,,3,1,0.01,balanced,Leave-One-Out,0.979
46,gini,,3,1,0.01,balanced,K-Fold (10),0.979
46,gini,,3,1,0.01,balanced,Stratified K-Fold (10),0.979
47,gini,,3,1,0.1,,K-Fold (5),0.442
47,gini,,3,1,0.1,,Stratified K-Fold (5),0.5
47,gini,,3,1,0.1,,Leave-One-Out,0.0
47,gini,,3,1,0.1,,K-Fold (10),0.437
47,gini,,3,1,0.1,,Stratified K-Fold (10),0.5
48,gini,,3,1,0.1,balanced,K-Fold (5),0.542
48,gini,,3,1,0.1,balanced,Stratified K-Fold (5),0.5
48,gini,,3,1,0.1,balanced,Leave-One-Out,0.0
48,gini,,3,1,0.1,balanced,K-Fold (10),0.463
48,gini,,3,1,0.1,balanced,Stratified K-Fold (10),0.5
49,gini,,3,2,0.0,,K-Fold (5),0.995
49,gini,,3,2,0.0,,Stratified K-Fold (5),0.984
49,gini,,3,2,0.0,,Leave-One-Out,0.987
49,gini,,3,2,0.0,,K-Fold (10),0.997
49,gini,,3,2,0.0,,Stratified K-Fold (10),0.979
50,gini,,3,2,0.0,balanced,K-Fold (5),0.992
50,gini,,3,2,0.0,balanced,Stratified K-Fold (5),0.984
50,gini,,3,2,0.0,balanced,Leave-One-Out,0.995
50,gini,,3,2,0.0,balanced,K-Fold (10),0.997
50,gini,,3,2,0.0,balanced,Stratified K-Fold (10),0.979
51,gini,,3,2,0.001,,K-Fold (5),0.995
51,gini,,3,2,0.001,,Stratified K-Fold (5),0.984
51,gini,,3,2,0.001,,Leave-One-Out,0.987
51,gini,,3,2,0.001,,K-Fold (10),0.997
51,gini,,3,2,0.001,,Stratified K-Fold (10),0.979
52,gini,,3,2,0.001,balanced,K-Fold (5),0.992
52,gini,,3,2,0.001,balanced,Stratified K-Fold (5),0.984
52,gini,,3,2,0.001,balanced,Leave-One-Out,0.995
52,gini,,3,2,0.001,balanced,K-Fold (10),0.997
52,gini,,3,2,0.001,balanced,Stratified K-Fold (10),0.979
53,gini,,3,2,0.01,,K-Fold (5),0.979
53,gini,,3,2,0.01,,Stratified K-Fold (5),0.982
53,gini,,3,2,0.01,,Leave-One-Out,0.976
53,gini,,3,2,0.01,,K-Fold (10),0.979
53,gini,,3,2,0.01,,Stratified K-Fold (10),0.979
54,gini,,3,2,0.01,balanced,K-Fold (5),0.976
