No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.571
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.446
1,gini,,2,1,0.0,,Leave-One-Out,0.568
1,gini,,2,1,0.0,,K-Fold (10),0.533
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.508
2,gini,,2,1,0.0,balanced,K-Fold (5),0.521
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.446
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.595
2,gini,,2,1,0.0,balanced,K-Fold (10),0.533
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.508
3,gini,,2,1,0.001,,K-Fold (5),0.571
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.446
3,gini,,2,1,0.001,,Leave-One-Out,0.568
3,gini,,2,1,0.001,,K-Fold (10),0.533
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.508
4,gini,,2,1,0.001,balanced,K-Fold (5),0.521
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.446
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.595
4,gini,,2,1,0.001,balanced,K-Fold (10),0.533
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.508
5,gini,,2,1,0.01,,K-Fold (5),0.571
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.446
5,gini,,2,1,0.01,,Leave-One-Out,0.568
5,gini,,2,1,0.01,,K-Fold (10),0.533
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.508
6,gini,,2,1,0.01,balanced,K-Fold (5),0.521
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.446
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.595
6,gini,,2,1,0.01,balanced,K-Fold (10),0.533
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.508
7,gini,,2,1,0.1,,K-Fold (5),0.411
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.482
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.35
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.475
8,gini,,2,1,0.1,balanced,K-Fold (5),0.411
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.482
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.433
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.483
9,gini,,2,2,0.0,,K-Fold (5),0.511
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.425
9,gini,,2,2,0.0,,Leave-One-Out,0.541
9,gini,,2,2,0.0,,K-Fold (10),0.433
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.458
10,gini,,2,2,0.0,balanced,K-Fold (5),0.489
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.4
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.568
10,gini,,2,2,0.0,balanced,K-Fold (10),0.542
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.458
11,gini,,2,2,0.001,,K-Fold (5),0.511
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.425
11,gini,,2,2,0.001,,Leave-One-Out,0.541
11,gini,,2,2,0.001,,K-Fold (10),0.433
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.458
12,gini,,2,2,0.001,balanced,K-Fold (5),0.489
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.4
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.568
12,gini,,2,2,0.001,balanced,K-Fold (10),0.542
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.458
13,gini,,2,2,0.01,,K-Fold (5),0.511
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.425
13,gini,,2,2,0.01,,Leave-One-Out,0.541
13,gini,,2,2,0.01,,K-Fold (10),0.433
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.458
14,gini,,2,2,0.01,balanced,K-Fold (5),0.489
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.4
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.568
14,gini,,2,2,0.01,balanced,K-Fold (10),0.542
