No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.575
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.504
1,gini,,2,1,0.0,,Leave-One-Out,0.649
1,gini,,2,1,0.0,,K-Fold (10),0.592
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.6
2,gini,,2,1,0.0,balanced,K-Fold (5),0.629
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.479
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.622
2,gini,,2,1,0.0,balanced,K-Fold (10),0.567
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.575
3,gini,,2,1,0.001,,K-Fold (5),0.575
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.504
3,gini,,2,1,0.001,,Leave-One-Out,0.649
3,gini,,2,1,0.001,,K-Fold (10),0.592
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.6
4,gini,,2,1,0.001,balanced,K-Fold (5),0.629
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.479
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.622
4,gini,,2,1,0.001,balanced,K-Fold (10),0.567
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.575
5,gini,,2,1,0.01,,K-Fold (5),0.575
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.504
5,gini,,2,1,0.01,,Leave-One-Out,0.649
5,gini,,2,1,0.01,,K-Fold (10),0.592
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.6
6,gini,,2,1,0.01,balanced,K-Fold (5),0.629
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.479
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.622
6,gini,,2,1,0.01,balanced,K-Fold (10),0.567
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.575
7,gini,,2,1,0.1,,K-Fold (5),0.379
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.482
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.242
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.45
8,gini,,2,1,0.1,balanced,K-Fold (5),0.379
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.482
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.378
8,gini,,2,1,0.1,balanced,K-Fold (10),0.375
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.45
9,gini,,2,2,0.0,,K-Fold (5),0.629
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.529
9,gini,,2,2,0.0,,Leave-One-Out,0.703
9,gini,,2,2,0.0,,K-Fold (10),0.567
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.65
10,gini,,2,2,0.0,balanced,K-Fold (5),0.632
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.479
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.676
10,gini,,2,2,0.0,balanced,K-Fold (10),0.592
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.625
11,gini,,2,2,0.001,,K-Fold (5),0.629
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.529
11,gini,,2,2,0.001,,Leave-One-Out,0.703
11,gini,,2,2,0.001,,K-Fold (10),0.567
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.65
12,gini,,2,2,0.001,balanced,K-Fold (5),0.632
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.479
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.676
12,gini,,2,2,0.001,balanced,K-Fold (10),0.592
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.625
13,gini,,2,2,0.01,,K-Fold (5),0.629
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.529
13,gini,,2,2,0.01,,Leave-One-Out,0.703
13,gini,,2,2,0.01,,K-Fold (10),0.567
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.65
14,gini,,2,2,0.01,balanced,K-Fold (5),0.657
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.479
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.676
14,gini,,2,2,0.01,balanced,K-Fold (10),0.592
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.625
15,gini,,2,2,0.1,,K-Fold (5),0.379
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.482
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.242
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.45
16,gini,,2,2,0.1,balanced,K-Fold (5),0.379
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.482
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.378
16,gini,,2,2,0.1,balanced,K-Fold (10),0.375
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.45
17,gini,,2,3,0.0,,K-Fold (5),0.579
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.557
17,gini,,2,3,0.0,,Leave-One-Out,0.622
17,gini,,2,3,0.0,,K-Fold (10),0.617
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.617
18,gini,,2,3,0.0,balanced,K-Fold (5),0.604
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.582
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.649
18,gini,,2,3,0.0,balanced,K-Fold (10),0.617
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.667
19,gini,,2,3,0.001,,K-Fold (5),0.579
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.557
19,gini,,2,3,0.001,,Leave-One-Out,0.622
19,gini,,2,3,0.001,,K-Fold (10),0.617
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.617
20,gini,,2,3,0.001,balanced,K-Fold (5),0.604
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.582
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.649
20,gini,,2,3,0.001,balanced,K-Fold (10),0.617
