No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.568
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.539
1,gini,,2,1,0.0,,Leave-One-Out,0.541
1,gini,,2,1,0.0,,K-Fold (10),0.542
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.5
2,gini,,2,1,0.0,balanced,K-Fold (5),0.543
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.539
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.541
2,gini,,2,1,0.0,balanced,K-Fold (10),0.542
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.5
3,gini,,2,1,0.001,,K-Fold (5),0.568
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.539
3,gini,,2,1,0.001,,Leave-One-Out,0.541
3,gini,,2,1,0.001,,K-Fold (10),0.542
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.5
4,gini,,2,1,0.001,balanced,K-Fold (5),0.543
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.539
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.541
4,gini,,2,1,0.001,balanced,K-Fold (10),0.542
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.5
5,gini,,2,1,0.01,,K-Fold (5),0.568
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.489
5,gini,,2,1,0.01,,Leave-One-Out,0.514
5,gini,,2,1,0.01,,K-Fold (10),0.508
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.5
6,gini,,2,1,0.01,balanced,K-Fold (5),0.568
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.489
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.514
6,gini,,2,1,0.01,balanced,K-Fold (10),0.508
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.5
7,gini,,2,1,0.1,,K-Fold (5),0.404
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.457
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.325
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.45
8,gini,,2,1,0.1,balanced,K-Fold (5),0.454
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.457
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.492
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.483
9,gini,,2,2,0.0,,K-Fold (5),0.679
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.539
9,gini,,2,2,0.0,,Leave-One-Out,0.595
9,gini,,2,2,0.0,,K-Fold (10),0.592
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.575
10,gini,,2,2,0.0,balanced,K-Fold (5),0.654
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.539
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.595
10,gini,,2,2,0.0,balanced,K-Fold (10),0.567
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.575
11,gini,,2,2,0.001,,K-Fold (5),0.679
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.539
11,gini,,2,2,0.001,,Leave-One-Out,0.595
11,gini,,2,2,0.001,,K-Fold (10),0.592
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.575
12,gini,,2,2,0.001,balanced,K-Fold (5),0.654
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.539
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.595
12,gini,,2,2,0.001,balanced,K-Fold (10),0.567
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.575
13,gini,,2,2,0.01,,K-Fold (5),0.679
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.489
13,gini,,2,2,0.01,,Leave-One-Out,0.568
13,gini,,2,2,0.01,,K-Fold (10),0.592
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.575
14,gini,,2,2,0.01,balanced,K-Fold (5),0.679
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.489
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.568
