No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.625
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.557
1,gini,,2,1,0.0,,Leave-One-Out,0.676
1,gini,,2,1,0.0,,K-Fold (10),0.625
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.625
2,gini,,2,1,0.0,balanced,K-Fold (5),0.679
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.507
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.676
2,gini,,2,1,0.0,balanced,K-Fold (10),0.575
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.6
3,gini,,2,1,0.001,,K-Fold (5),0.625
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.557
3,gini,,2,1,0.001,,Leave-One-Out,0.676
3,gini,,2,1,0.001,,K-Fold (10),0.625
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.625
4,gini,,2,1,0.001,balanced,K-Fold (5),0.679
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.507
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.676
4,gini,,2,1,0.001,balanced,K-Fold (10),0.575
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.6
5,gini,,2,1,0.01,,K-Fold (5),0.625
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.557
5,gini,,2,1,0.01,,Leave-One-Out,0.676
5,gini,,2,1,0.01,,K-Fold (10),0.625
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.625
6,gini,,2,1,0.01,balanced,K-Fold (5),0.679
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.507
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.676
6,gini,,2,1,0.01,balanced,K-Fold (10),0.575
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.6
7,gini,,2,1,0.1,,K-Fold (5),0.379
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.482
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.242
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.45
8,gini,,2,1,0.1,balanced,K-Fold (5),0.379
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.482
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.378
