No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.625
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.696
1,gini,,2,1,0.0,,Leave-One-Out,0.622
1,gini,,2,1,0.0,,K-Fold (10),0.667
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.675
2,gini,,2,1,0.0,balanced,K-Fold (5),0.625
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.671
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.649
2,gini,,2,1,0.0,balanced,K-Fold (10),0.642
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.65
3,gini,,2,1,0.001,,K-Fold (5),0.625
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.696
3,gini,,2,1,0.001,,Leave-One-Out,0.622
3,gini,,2,1,0.001,,K-Fold (10),0.667
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.675
4,gini,,2,1,0.001,balanced,K-Fold (5),0.625
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.671
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.649
4,gini,,2,1,0.001,balanced,K-Fold (10),0.642
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.65
5,gini,,2,1,0.01,,K-Fold (5),0.625
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.696
5,gini,,2,1,0.01,,Leave-One-Out,0.622
5,gini,,2,1,0.01,,K-Fold (10),0.667
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.675
6,gini,,2,1,0.01,balanced,K-Fold (5),0.625
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.671
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.649
6,gini,,2,1,0.01,balanced,K-Fold (10),0.642
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.65
7,gini,,2,1,0.1,,K-Fold (5),0.429
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.267
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.45
8,gini,,2,1,0.1,balanced,K-Fold (5),0.429
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.511
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.378
8,gini,,2,1,0.1,balanced,K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.45
9,gini,,2,2,0.0,,K-Fold (5),0.754
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.668
9,gini,,2,2,0.0,,Leave-One-Out,0.622
9,gini,,2,2,0.0,,K-Fold (10),0.692
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.667
10,gini,,2,2,0.0,balanced,K-Fold (5),0.757
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.668
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.622
10,gini,,2,2,0.0,balanced,K-Fold (10),0.667
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.592
11,gini,,2,2,0.001,,K-Fold (5),0.754
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.668
11,gini,,2,2,0.001,,Leave-One-Out,0.622
11,gini,,2,2,0.001,,K-Fold (10),0.692
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.667
12,gini,,2,2,0.001,balanced,K-Fold (5),0.757
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.668
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.622
12,gini,,2,2,0.001,balanced,K-Fold (10),0.667
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.592
13,gini,,2,2,0.01,,K-Fold (5),0.754
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.668
