No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.582
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.561
1,gini,,2,1,0.0,,Leave-One-Out,0.459
1,gini,,2,1,0.0,,K-Fold (10),0.508
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.583
2,gini,,2,1,0.0,balanced,K-Fold (5),0.525
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.561
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.486
2,gini,,2,1,0.0,balanced,K-Fold (10),0.492
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.558
3,gini,,2,1,0.001,,K-Fold (5),0.582
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.561
3,gini,,2,1,0.001,,Leave-One-Out,0.459
3,gini,,2,1,0.001,,K-Fold (10),0.508
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.583
4,gini,,2,1,0.001,balanced,K-Fold (5),0.525
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.561
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.486
4,gini,,2,1,0.001,balanced,K-Fold (10),0.492
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.558
5,gini,,2,1,0.01,,K-Fold (5),0.582
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.561
5,gini,,2,1,0.01,,Leave-One-Out,0.459
5,gini,,2,1,0.01,,K-Fold (10),0.508
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.583
6,gini,,2,1,0.01,balanced,K-Fold (5),0.525
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.561
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.486
6,gini,,2,1,0.01,balanced,K-Fold (10),0.492
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.558
7,gini,,2,1,0.1,,K-Fold (5),0.514
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.482
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.383
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.558
8,gini,,2,1,0.1,balanced,K-Fold (5),0.514
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.482
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.533
9,gini,,2,2,0.0,,K-Fold (5),0.525
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.532
9,gini,,2,2,0.0,,Leave-One-Out,0.432
9,gini,,2,2,0.0,,K-Fold (10),0.525
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.5
10,gini,,2,2,0.0,balanced,K-Fold (5),0.496
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.504
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.486
10,gini,,2,2,0.0,balanced,K-Fold (10),0.492
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.5
11,gini,,2,2,0.001,,K-Fold (5),0.525
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.532
11,gini,,2,2,0.001,,Leave-One-Out,0.432
11,gini,,2,2,0.001,,K-Fold (10),0.525
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.5
12,gini,,2,2,0.001,balanced,K-Fold (5),0.496
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.504
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.486
12,gini,,2,2,0.001,balanced,K-Fold (10),0.492
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.5
13,gini,,2,2,0.01,,K-Fold (5),0.525
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.532
13,gini,,2,2,0.01,,Leave-One-Out,0.432
13,gini,,2,2,0.01,,K-Fold (10),0.525
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.5
14,gini,,2,2,0.01,balanced,K-Fold (5),0.496
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.504
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.486
14,gini,,2,2,0.01,balanced,K-Fold (10),0.492
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.5
