No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.546
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.679
1,gini,,2,1,0.0,,Leave-One-Out,0.514
1,gini,,2,1,0.0,,K-Fold (10),0.533
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.542
2,gini,,2,1,0.0,balanced,K-Fold (5),0.575
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.704
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.514
2,gini,,2,1,0.0,balanced,K-Fold (10),0.508
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.55
3,gini,,2,1,0.001,,K-Fold (5),0.546
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.679
3,gini,,2,1,0.001,,Leave-One-Out,0.514
3,gini,,2,1,0.001,,K-Fold (10),0.533
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.542
4,gini,,2,1,0.001,balanced,K-Fold (5),0.575
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.704
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.514
4,gini,,2,1,0.001,balanced,K-Fold (10),0.508
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.55
5,gini,,2,1,0.01,,K-Fold (5),0.546
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.679
5,gini,,2,1,0.01,,Leave-One-Out,0.514
5,gini,,2,1,0.01,,K-Fold (10),0.533
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.542
6,gini,,2,1,0.01,balanced,K-Fold (5),0.575
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.704
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.514
6,gini,,2,1,0.01,balanced,K-Fold (10),0.508
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.55
7,gini,,2,1,0.1,,K-Fold (5),0.457
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.383
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.558
8,gini,,2,1,0.1,balanced,K-Fold (5),0.457
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.511
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.533
9,gini,,2,2,0.0,,K-Fold (5),0.436
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.568
9,gini,,2,2,0.0,,Leave-One-Out,0.486
9,gini,,2,2,0.0,,K-Fold (10),0.433
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.533
10,gini,,2,2,0.0,balanced,K-Fold (5),0.493
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.568
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.514
10,gini,,2,2,0.0,balanced,K-Fold (10),0.492
