No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.5
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.586
1,gini,,2,1,0.0,,Leave-One-Out,0.541
1,gini,,2,1,0.0,,K-Fold (10),0.458
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.433
2,gini,,2,1,0.0,balanced,K-Fold (5),0.5
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.561
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.541
2,gini,,2,1,0.0,balanced,K-Fold (10),0.408
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.433
3,gini,,2,1,0.001,,K-Fold (5),0.5
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.586
3,gini,,2,1,0.001,,Leave-One-Out,0.541
3,gini,,2,1,0.001,,K-Fold (10),0.458
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.433
4,gini,,2,1,0.001,balanced,K-Fold (5),0.5
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.561
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.541
4,gini,,2,1,0.001,balanced,K-Fold (10),0.408
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.433
5,gini,,2,1,0.01,,K-Fold (5),0.5
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.586
5,gini,,2,1,0.01,,Leave-One-Out,0.541
5,gini,,2,1,0.01,,K-Fold (10),0.458
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.433
6,gini,,2,1,0.01,balanced,K-Fold (5),0.5
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.561
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.541
6,gini,,2,1,0.01,balanced,K-Fold (10),0.408
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.433
7,gini,,2,1,0.1,,K-Fold (5),0.325
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.429
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.3
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.45
8,gini,,2,1,0.1,balanced,K-Fold (5),0.375
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.429
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.483
9,gini,,2,2,0.0,,K-Fold (5),0.468
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.457
9,gini,,2,2,0.0,,Leave-One-Out,0.486
9,gini,,2,2,0.0,,K-Fold (10),0.517
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.433
10,gini,,2,2,0.0,balanced,K-Fold (5),0.493
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.429
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.486
10,gini,,2,2,0.0,balanced,K-Fold (10),0.525
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.508
11,gini,,2,2,0.001,,K-Fold (5),0.468
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.457
11,gini,,2,2,0.001,,Leave-One-Out,0.486
11,gini,,2,2,0.001,,K-Fold (10),0.517
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.433
12,gini,,2,2,0.001,balanced,K-Fold (5),0.493
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.429
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.486
12,gini,,2,2,0.001,balanced,K-Fold (10),0.525
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.508
13,gini,,2,2,0.01,,K-Fold (5),0.468
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.457
13,gini,,2,2,0.01,,Leave-One-Out,0.514
13,gini,,2,2,0.01,,K-Fold (10),0.517
