No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.554
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.479
1,gini,,2,1,0.0,,Leave-One-Out,0.459
1,gini,,2,1,0.0,,K-Fold (10),0.45
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.433
2,gini,,2,1,0.0,balanced,K-Fold (5),0.554
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.479
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.432
2,gini,,2,1,0.0,balanced,K-Fold (10),0.458
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.492
3,gini,,2,1,0.001,,K-Fold (5),0.554
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.479
3,gini,,2,1,0.001,,Leave-One-Out,0.459
3,gini,,2,1,0.001,,K-Fold (10),0.45
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.433
4,gini,,2,1,0.001,balanced,K-Fold (5),0.554
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.479
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.432
4,gini,,2,1,0.001,balanced,K-Fold (10),0.458
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.492
5,gini,,2,1,0.01,,K-Fold (5),0.554
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.479
5,gini,,2,1,0.01,,Leave-One-Out,0.459
5,gini,,2,1,0.01,,K-Fold (10),0.45
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.433
6,gini,,2,1,0.01,balanced,K-Fold (5),0.554
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.479
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.432
6,gini,,2,1,0.01,balanced,K-Fold (10),0.458
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.492
7,gini,,2,1,0.1,,K-Fold (5),0.325
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.429
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.3
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.45
8,gini,,2,1,0.1,balanced,K-Fold (5),0.375
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.429
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.483
9,gini,,2,2,0.0,,K-Fold (5),0.439
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.507
9,gini,,2,2,0.0,,Leave-One-Out,0.459
9,gini,,2,2,0.0,,K-Fold (10),0.517
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.483
10,gini,,2,2,0.0,balanced,K-Fold (5),0.464
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.507
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.432
10,gini,,2,2,0.0,balanced,K-Fold (10),0.467
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.475
11,gini,,2,2,0.001,,K-Fold (5),0.439
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.507
11,gini,,2,2,0.001,,Leave-One-Out,0.459
11,gini,,2,2,0.001,,K-Fold (10),0.517
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.483
