No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.461
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.557
1,gini,,2,1,0.0,,Leave-One-Out,0.649
1,gini,,2,1,0.0,,K-Fold (10),0.55
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.642
2,gini,,2,1,0.0,balanced,K-Fold (5),0.489
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.557
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.649
2,gini,,2,1,0.0,balanced,K-Fold (10),0.475
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.667
3,gini,,2,1,0.001,,K-Fold (5),0.461
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.557
3,gini,,2,1,0.001,,Leave-One-Out,0.649
3,gini,,2,1,0.001,,K-Fold (10),0.55
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.642
4,gini,,2,1,0.001,balanced,K-Fold (5),0.489
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.557
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.649
4,gini,,2,1,0.001,balanced,K-Fold (10),0.475
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.667
5,gini,,2,1,0.01,,K-Fold (5),0.461
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.557
5,gini,,2,1,0.01,,Leave-One-Out,0.649
5,gini,,2,1,0.01,,K-Fold (10),0.55
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.642
6,gini,,2,1,0.01,balanced,K-Fold (5),0.489
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.557
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.649
6,gini,,2,1,0.01,balanced,K-Fold (10),0.475
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.667
7,gini,,2,1,0.1,,K-Fold (5),0.514
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.482
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.383
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.558
8,gini,,2,1,0.1,balanced,K-Fold (5),0.514
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.482
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.533
9,gini,,2,2,0.0,,K-Fold (5),0.461
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.454
9,gini,,2,2,0.0,,Leave-One-Out,0.514
9,gini,,2,2,0.0,,K-Fold (10),0.425
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.467
10,gini,,2,2,0.0,balanced,K-Fold (5),0.489
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.454
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.459
10,gini,,2,2,0.0,balanced,K-Fold (10),0.55
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.442
11,gini,,2,2,0.001,,K-Fold (5),0.461
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.454
11,gini,,2,2,0.001,,Leave-One-Out,0.514
11,gini,,2,2,0.001,,K-Fold (10),0.425
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.467
12,gini,,2,2,0.001,balanced,K-Fold (5),0.489
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.454
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.459
12,gini,,2,2,0.001,balanced,K-Fold (10),0.55
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.442
13,gini,,2,2,0.01,,K-Fold (5),0.461
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.454
13,gini,,2,2,0.01,,Leave-One-Out,0.514
13,gini,,2,2,0.01,,K-Fold (10),0.425
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.467
14,gini,,2,2,0.01,balanced,K-Fold (5),0.489
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.454
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.459
14,gini,,2,2,0.01,balanced,K-Fold (10),0.525
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.442
