No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.564
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.518
1,gini,,2,1,0.0,,Leave-One-Out,0.568
1,gini,,2,1,0.0,,K-Fold (10),0.608
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.617
2,gini,,2,1,0.0,balanced,K-Fold (5),0.532
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.518
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.595
2,gini,,2,1,0.0,balanced,K-Fold (10),0.558
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.592
3,gini,,2,1,0.001,,K-Fold (5),0.564
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.518
3,gini,,2,1,0.001,,Leave-One-Out,0.568
3,gini,,2,1,0.001,,K-Fold (10),0.608
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.617
4,gini,,2,1,0.001,balanced,K-Fold (5),0.532
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.518
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.595
4,gini,,2,1,0.001,balanced,K-Fold (10),0.558
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.592
5,gini,,2,1,0.01,,K-Fold (5),0.564
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.518
5,gini,,2,1,0.01,,Leave-One-Out,0.568
5,gini,,2,1,0.01,,K-Fold (10),0.608
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.617
6,gini,,2,1,0.01,balanced,K-Fold (5),0.532
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.518
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.595
6,gini,,2,1,0.01,balanced,K-Fold (10),0.558
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.592
7,gini,,2,1,0.1,,K-Fold (5),0.429
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.436
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.267
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.425
8,gini,,2,1,0.1,balanced,K-Fold (5),0.429
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.436
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.378
8,gini,,2,1,0.1,balanced,K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.425
9,gini,,2,2,0.0,,K-Fold (5),0.618
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.568
9,gini,,2,2,0.0,,Leave-One-Out,0.595
9,gini,,2,2,0.0,,K-Fold (10),0.625
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.617
10,gini,,2,2,0.0,balanced,K-Fold (5),0.618
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.568
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.622
10,gini,,2,2,0.0,balanced,K-Fold (10),0.625
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.567
11,gini,,2,2,0.001,,K-Fold (5),0.618
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.568
11,gini,,2,2,0.001,,Leave-One-Out,0.595
11,gini,,2,2,0.001,,K-Fold (10),0.625
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.617
12,gini,,2,2,0.001,balanced,K-Fold (5),0.618
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.568
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.622
12,gini,,2,2,0.001,balanced,K-Fold (10),0.625
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.567
13,gini,,2,2,0.01,,K-Fold (5),0.618
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.568
13,gini,,2,2,0.01,,Leave-One-Out,0.568
13,gini,,2,2,0.01,,K-Fold (10),0.558
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.592
14,gini,,2,2,0.01,balanced,K-Fold (5),0.618
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.568
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.595
14,gini,,2,2,0.01,balanced,K-Fold (10),0.625
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.567
15,gini,,2,2,0.1,,K-Fold (5),0.429
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.436
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.267
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.425
16,gini,,2,2,0.1,balanced,K-Fold (5),0.429
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.436
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.378
16,gini,,2,2,0.1,balanced,K-Fold (10),0.4
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.425
17,gini,,2,3,0.0,,K-Fold (5),0.561
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.568
17,gini,,2,3,0.0,,Leave-One-Out,0.459
17,gini,,2,3,0.0,,K-Fold (10),0.5
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.492
18,gini,,2,3,0.0,balanced,K-Fold (5),0.561
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.568
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.459
18,gini,,2,3,0.0,balanced,K-Fold (10),0.475
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.517
19,gini,,2,3,0.001,,K-Fold (5),0.561
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.568
19,gini,,2,3,0.001,,Leave-One-Out,0.459
19,gini,,2,3,0.001,,K-Fold (10),0.5
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.492
20,gini,,2,3,0.001,balanced,K-Fold (5),0.561
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.568
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.459
20,gini,,2,3,0.001,balanced,K-Fold (10),0.475
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.517
21,gini,,2,3,0.01,,K-Fold (5),0.561
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.518
21,gini,,2,3,0.01,,Leave-One-Out,0.459
21,gini,,2,3,0.01,,K-Fold (10),0.5
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.492
22,gini,,2,3,0.01,balanced,K-Fold (5),0.561
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.518
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.459
22,gini,,2,3,0.01,balanced,K-Fold (10),0.475
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.517
23,gini,,2,3,0.1,,K-Fold (5),0.429
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.436
23,gini,,2,3,0.1,,Leave-One-Out,0.0
23,gini,,2,3,0.1,,K-Fold (10),0.267
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.425
24,gini,,2,3,0.1,balanced,K-Fold (5),0.429
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.436
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.378
24,gini,,2,3,0.1,balanced,K-Fold (10),0.4
