No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.468
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.464
1,gini,,2,1,0.0,,Leave-One-Out,0.486
1,gini,,2,1,0.0,,K-Fold (10),0.458
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.525
2,gini,,2,1,0.0,balanced,K-Fold (5),0.436
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.464
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.486
2,gini,,2,1,0.0,balanced,K-Fold (10),0.433
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.525
3,gini,,2,1,0.001,,K-Fold (5),0.468
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.464
3,gini,,2,1,0.001,,Leave-One-Out,0.486
3,gini,,2,1,0.001,,K-Fold (10),0.458
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.525
4,gini,,2,1,0.001,balanced,K-Fold (5),0.436
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.464
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.486
4,gini,,2,1,0.001,balanced,K-Fold (10),0.433
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.525
5,gini,,2,1,0.01,,K-Fold (5),0.468
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.464
5,gini,,2,1,0.01,,Leave-One-Out,0.486
5,gini,,2,1,0.01,,K-Fold (10),0.458
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.525
6,gini,,2,1,0.01,balanced,K-Fold (5),0.436
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.464
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.486
6,gini,,2,1,0.01,balanced,K-Fold (10),0.433
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.525
7,gini,,2,1,0.1,,K-Fold (5),0.325
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.379
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.3
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,K-Fold (5),0.375
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.379
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.433
9,gini,,2,2,0.0,,K-Fold (5),0.432
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.35
9,gini,,2,2,0.0,,Leave-One-Out,0.514
9,gini,,2,2,0.0,,K-Fold (10),0.408
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.4
10,gini,,2,2,0.0,balanced,K-Fold (5),0.432
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.35
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.486
10,gini,,2,2,0.0,balanced,K-Fold (10),0.458
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.467
11,gini,,2,2,0.001,,K-Fold (5),0.432
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.35
11,gini,,2,2,0.001,,Leave-One-Out,0.514
11,gini,,2,2,0.001,,K-Fold (10),0.408
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.4
12,gini,,2,2,0.001,balanced,K-Fold (5),0.432
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.35
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.486
12,gini,,2,2,0.001,balanced,K-Fold (10),0.458
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.467
13,gini,,2,2,0.01,,K-Fold (5),0.432
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.35
13,gini,,2,2,0.01,,Leave-One-Out,0.514
13,gini,,2,2,0.01,,K-Fold (10),0.408
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.433
14,gini,,2,2,0.01,balanced,K-Fold (5),0.432
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.35
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.486
14,gini,,2,2,0.01,balanced,K-Fold (10),0.458
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.5
15,gini,,2,2,0.1,,K-Fold (5),0.325
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.379
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.3
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.4
16,gini,,2,2,0.1,balanced,K-Fold (5),0.375
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.379
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.486
16,gini,,2,2,0.1,balanced,K-Fold (10),0.467
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.433
17,gini,,2,3,0.0,,K-Fold (5),0.436
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.429
17,gini,,2,3,0.0,,Leave-One-Out,0.351
17,gini,,2,3,0.0,,K-Fold (10),0.333
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.408
18,gini,,2,3,0.0,balanced,K-Fold (5),0.436
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.4
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.324
18,gini,,2,3,0.0,balanced,K-Fold (10),0.383
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.408
19,gini,,2,3,0.001,,K-Fold (5),0.436
