No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.586
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.568
1,gini,,2,1,0.0,,Leave-One-Out,0.595
1,gini,,2,1,0.0,,K-Fold (10),0.608
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.617
2,gini,,2,1,0.0,balanced,K-Fold (5),0.614
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.568
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.568
2,gini,,2,1,0.0,balanced,K-Fold (10),0.583
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.542
3,gini,,2,1,0.001,,K-Fold (5),0.586
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.568
3,gini,,2,1,0.001,,Leave-One-Out,0.595
3,gini,,2,1,0.001,,K-Fold (10),0.608
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.617
4,gini,,2,1,0.001,balanced,K-Fold (5),0.614
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.568
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.568
4,gini,,2,1,0.001,balanced,K-Fold (10),0.583
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.542
5,gini,,2,1,0.01,,K-Fold (5),0.586
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.568
5,gini,,2,1,0.01,,Leave-One-Out,0.595
5,gini,,2,1,0.01,,K-Fold (10),0.608
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.617
6,gini,,2,1,0.01,balanced,K-Fold (5),0.614
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.568
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.568
6,gini,,2,1,0.01,balanced,K-Fold (10),0.583
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.542
7,gini,,2,1,0.1,,K-Fold (5),0.429
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.436
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.267
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.425
8,gini,,2,1,0.1,balanced,K-Fold (5),0.429
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.436
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.378
8,gini,,2,1,0.1,balanced,K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.425
9,gini,,2,2,0.0,,K-Fold (5),0.593
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.543
9,gini,,2,2,0.0,,Leave-One-Out,0.649
9,gini,,2,2,0.0,,K-Fold (10),0.625
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.625
10,gini,,2,2,0.0,balanced,K-Fold (5),0.543
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.543
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.622
10,gini,,2,2,0.0,balanced,K-Fold (10),0.65
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.6
11,gini,,2,2,0.001,,K-Fold (5),0.593
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.543
11,gini,,2,2,0.001,,Leave-One-Out,0.649
11,gini,,2,2,0.001,,K-Fold (10),0.625
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.625
12,gini,,2,2,0.001,balanced,K-Fold (5),0.543
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.543
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.622
12,gini,,2,2,0.001,balanced,K-Fold (10),0.65
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.6
13,gini,,2,2,0.01,,K-Fold (5),0.593
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.543
13,gini,,2,2,0.01,,Leave-One-Out,0.649
13,gini,,2,2,0.01,,K-Fold (10),0.558
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.625
14,gini,,2,2,0.01,balanced,K-Fold (5),0.543
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.543
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.622
14,gini,,2,2,0.01,balanced,K-Fold (10),0.65
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.6
15,gini,,2,2,0.1,,K-Fold (5),0.429
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.436
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.267
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.425
16,gini,,2,2,0.1,balanced,K-Fold (5),0.429
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.436
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.378
16,gini,,2,2,0.1,balanced,K-Fold (10),0.4
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.425
17,gini,,2,3,0.0,,K-Fold (5),0.536
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.539
17,gini,,2,3,0.0,,Leave-One-Out,0.486
17,gini,,2,3,0.0,,K-Fold (10),0.5
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.525
18,gini,,2,3,0.0,balanced,K-Fold (5),0.511
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.539
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.486
18,gini,,2,3,0.0,balanced,K-Fold (10),0.5
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.525
19,gini,,2,3,0.001,,K-Fold (5),0.536
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.539
19,gini,,2,3,0.001,,Leave-One-Out,0.486
19,gini,,2,3,0.001,,K-Fold (10),0.5
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.525
20,gini,,2,3,0.001,balanced,K-Fold (5),0.511
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.539
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.486
20,gini,,2,3,0.001,balanced,K-Fold (10),0.5
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.525
21,gini,,2,3,0.01,,K-Fold (5),0.536
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.489
21,gini,,2,3,0.01,,Leave-One-Out,0.486
21,gini,,2,3,0.01,,K-Fold (10),0.5
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.525
22,gini,,2,3,0.01,balanced,K-Fold (5),0.511
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.489
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.486
22,gini,,2,3,0.01,balanced,K-Fold (10),0.55
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.525
23,gini,,2,3,0.1,,K-Fold (5),0.429
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.436
23,gini,,2,3,0.1,,Leave-One-Out,0.0
23,gini,,2,3,0.1,,K-Fold (10),0.267
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.425
24,gini,,2,3,0.1,balanced,K-Fold (5),0.429
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.436
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.378
24,gini,,2,3,0.1,balanced,K-Fold (10),0.4
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.425
25,gini,,2,4,0.0,,K-Fold (5),0.543
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.546
25,gini,,2,4,0.0,,Leave-One-Out,0.568
25,gini,,2,4,0.0,,K-Fold (10),0.525
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.608
26,gini,,2,4,0.0,balanced,K-Fold (5),0.543
