No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.439
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.457
1,gini,,2,1,0.0,,Leave-One-Out,0.459
1,gini,,2,1,0.0,,K-Fold (10),0.333
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.5
2,gini,,2,1,0.0,balanced,K-Fold (5),0.436
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.457
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.459
2,gini,,2,1,0.0,balanced,K-Fold (10),0.308
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.5
3,gini,,2,1,0.001,,K-Fold (5),0.439
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.457
3,gini,,2,1,0.001,,Leave-One-Out,0.459
3,gini,,2,1,0.001,,K-Fold (10),0.333
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.5
4,gini,,2,1,0.001,balanced,K-Fold (5),0.436
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.457
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.459
4,gini,,2,1,0.001,balanced,K-Fold (10),0.308
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.5
5,gini,,2,1,0.01,,K-Fold (5),0.439
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.457
5,gini,,2,1,0.01,,Leave-One-Out,0.486
5,gini,,2,1,0.01,,K-Fold (10),0.333
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.5
6,gini,,2,1,0.01,balanced,K-Fold (5),0.436
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.457
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.486
6,gini,,2,1,0.01,balanced,K-Fold (10),0.308
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.5
7,gini,,2,1,0.1,,K-Fold (5),0.404
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.407
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.325
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,K-Fold (5),0.454
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.407
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.492
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.433
9,gini,,2,2,0.0,,K-Fold (5),0.464
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.518
9,gini,,2,2,0.0,,Leave-One-Out,0.378
9,gini,,2,2,0.0,,K-Fold (10),0.258
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.45
10,gini,,2,2,0.0,balanced,K-Fold (5),0.439
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.518
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.351
10,gini,,2,2,0.0,balanced,K-Fold (10),0.333
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.45
11,gini,,2,2,0.001,,K-Fold (5),0.464
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.518
11,gini,,2,2,0.001,,Leave-One-Out,0.378
11,gini,,2,2,0.001,,K-Fold (10),0.258
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.45
12,gini,,2,2,0.001,balanced,K-Fold (5),0.439
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.518
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.351
12,gini,,2,2,0.001,balanced,K-Fold (10),0.333
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.45
13,gini,,2,2,0.01,,K-Fold (5),0.464
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.518
13,gini,,2,2,0.01,,Leave-One-Out,0.378
13,gini,,2,2,0.01,,K-Fold (10),0.292
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.45
14,gini,,2,2,0.01,balanced,K-Fold (5),0.439
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.518
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.351
14,gini,,2,2,0.01,balanced,K-Fold (10),0.342
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.45
15,gini,,2,2,0.1,,K-Fold (5),0.404
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.407
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.325
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.4
16,gini,,2,2,0.1,balanced,K-Fold (5),0.454
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.407
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.486
16,gini,,2,2,0.1,balanced,K-Fold (10),0.492
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.433
17,gini,,2,3,0.0,,K-Fold (5),0.457
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.486
17,gini,,2,3,0.0,,Leave-One-Out,0.351
17,gini,,2,3,0.0,,K-Fold (10),0.317
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.333
18,gini,,2,3,0.0,balanced,K-Fold (5),0.429
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.429
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.378
18,gini,,2,3,0.0,balanced,K-Fold (10),0.342
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.333
19,gini,,2,3,0.001,,K-Fold (5),0.457
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.486
19,gini,,2,3,0.001,,Leave-One-Out,0.351
19,gini,,2,3,0.001,,K-Fold (10),0.317
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.333
20,gini,,2,3,0.001,balanced,K-Fold (5),0.429
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.429
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.378
20,gini,,2,3,0.001,balanced,K-Fold (10),0.342
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.333
21,gini,,2,3,0.01,,K-Fold (5),0.457
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.486
21,gini,,2,3,0.01,,Leave-One-Out,0.378
21,gini,,2,3,0.01,,K-Fold (10),0.317
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.358
22,gini,,2,3,0.01,balanced,K-Fold (5),0.429
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.429
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.405
22,gini,,2,3,0.01,balanced,K-Fold (10),0.342
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.358
23,gini,,2,3,0.1,,K-Fold (5),0.404
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.407
23,gini,,2,3,0.1,,Leave-One-Out,0.0
23,gini,,2,3,0.1,,K-Fold (10),0.325
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.4
24,gini,,2,3,0.1,balanced,K-Fold (5),0.454
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.407
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.486
24,gini,,2,3,0.1,balanced,K-Fold (10),0.492
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.433
25,gini,,2,4,0.0,,K-Fold (5),0.536
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.357
25,gini,,2,4,0.0,,Leave-One-Out,0.378
25,gini,,2,4,0.0,,K-Fold (10),0.4
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.442
26,gini,,2,4,0.0,balanced,K-Fold (5),0.536
26,gini,,2,4,0.0,balanced,Stratified K-Fold (5),0.357
26,gini,,2,4,0.0,balanced,Leave-One-Out,0.378
26,gini,,2,4,0.0,balanced,K-Fold (10),0.433
26,gini,,2,4,0.0,balanced,Stratified K-Fold (10),0.442
27,gini,,2,4,0.001,,K-Fold (5),0.536
27,gini,,2,4,0.001,,Stratified K-Fold (5),0.357
27,gini,,2,4,0.001,,Leave-One-Out,0.378
27,gini,,2,4,0.001,,K-Fold (10),0.4
27,gini,,2,4,0.001,,Stratified K-Fold (10),0.442
28,gini,,2,4,0.001,balanced,K-Fold (5),0.536
