No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.489
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.482
1,gini,,2,1,0.0,,Leave-One-Out,0.514
1,gini,,2,1,0.0,,K-Fold (10),0.433
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.575
2,gini,,2,1,0.0,balanced,K-Fold (5),0.386
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.482
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.514
2,gini,,2,1,0.0,balanced,K-Fold (10),0.425
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.55
3,gini,,2,1,0.001,,K-Fold (5),0.489
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.482
3,gini,,2,1,0.001,,Leave-One-Out,0.514
3,gini,,2,1,0.001,,K-Fold (10),0.433
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.575
4,gini,,2,1,0.001,balanced,K-Fold (5),0.386
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.482
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.514
4,gini,,2,1,0.001,balanced,K-Fold (10),0.425
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.55
5,gini,,2,1,0.01,,K-Fold (5),0.489
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.482
5,gini,,2,1,0.01,,Leave-One-Out,0.514
5,gini,,2,1,0.01,,K-Fold (10),0.433
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.575
6,gini,,2,1,0.01,balanced,K-Fold (5),0.386
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.482
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.514
6,gini,,2,1,0.01,balanced,K-Fold (10),0.425
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.55
7,gini,,2,1,0.1,,K-Fold (5),0.375
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.407
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.325
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,K-Fold (5),0.425
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.407
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.492
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.433
9,gini,,2,2,0.0,,K-Fold (5),0.568
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.539
9,gini,,2,2,0.0,,Leave-One-Out,0.541
9,gini,,2,2,0.0,,K-Fold (10),0.458
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.458
10,gini,,2,2,0.0,balanced,K-Fold (5),0.568
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.539
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.514
10,gini,,2,2,0.0,balanced,K-Fold (10),0.483
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.458
11,gini,,2,2,0.001,,K-Fold (5),0.568
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.539
11,gini,,2,2,0.001,,Leave-One-Out,0.541
11,gini,,2,2,0.001,,K-Fold (10),0.458
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.458
12,gini,,2,2,0.001,balanced,K-Fold (5),0.568
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.539
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.514
12,gini,,2,2,0.001,balanced,K-Fold (10),0.483
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.458
13,gini,,2,2,0.01,,K-Fold (5),0.568
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.539
13,gini,,2,2,0.01,,Leave-One-Out,0.541
13,gini,,2,2,0.01,,K-Fold (10),0.458
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.458
14,gini,,2,2,0.01,balanced,K-Fold (5),0.568
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.539
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.514
14,gini,,2,2,0.01,balanced,K-Fold (10),0.483
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.458
15,gini,,2,2,0.1,,K-Fold (5),0.375
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.407
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.325
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.4
16,gini,,2,2,0.1,balanced,K-Fold (5),0.425
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.407
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.486
16,gini,,2,2,0.1,balanced,K-Fold (10),0.492
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.433
17,gini,,2,3,0.0,,K-Fold (5),0.489
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.489
17,gini,,2,3,0.0,,Leave-One-Out,0.622
17,gini,,2,3,0.0,,K-Fold (10),0.408
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.525
