No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.475
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.507
1,gini,,2,1,0.0,,Leave-One-Out,0.541
1,gini,,2,1,0.0,,K-Fold (10),0.442
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.517
2,gini,,2,1,0.0,balanced,K-Fold (5),0.496
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.507
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.514
2,gini,,2,1,0.0,balanced,K-Fold (10),0.417
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.558
3,gini,,2,1,0.001,,K-Fold (5),0.475
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.507
3,gini,,2,1,0.001,,Leave-One-Out,0.541
3,gini,,2,1,0.001,,K-Fold (10),0.442
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.517
4,gini,,2,1,0.001,balanced,K-Fold (5),0.496
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.507
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.514
4,gini,,2,1,0.001,balanced,K-Fold (10),0.417
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.558
5,gini,,2,1,0.01,,K-Fold (5),0.475
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.507
5,gini,,2,1,0.01,,Leave-One-Out,0.541
5,gini,,2,1,0.01,,K-Fold (10),0.442
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.517
6,gini,,2,1,0.01,balanced,K-Fold (5),0.496
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.507
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.514
6,gini,,2,1,0.01,balanced,K-Fold (10),0.417
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.558
7,gini,,2,1,0.1,,K-Fold (5),0.486
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.482
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.35
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.5
8,gini,,2,1,0.1,balanced,K-Fold (5),0.486
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.482
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.433
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.508
9,gini,,2,2,0.0,,K-Fold (5),0.475
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.504
9,gini,,2,2,0.0,,Leave-One-Out,0.541
