No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.675
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.668
1,gini,,2,1,0.0,,Leave-One-Out,0.676
1,gini,,2,1,0.0,,K-Fold (10),0.658
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.675
2,gini,,2,1,0.0,balanced,K-Fold (5),0.675
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.668
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.676
2,gini,,2,1,0.0,balanced,K-Fold (10),0.658
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.65
3,gini,,2,1,0.001,,K-Fold (5),0.675
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.668
3,gini,,2,1,0.001,,Leave-One-Out,0.676
3,gini,,2,1,0.001,,K-Fold (10),0.658
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.675
4,gini,,2,1,0.001,balanced,K-Fold (5),0.675
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.668
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.676
4,gini,,2,1,0.001,balanced,K-Fold (10),0.658
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.65
5,gini,,2,1,0.01,,K-Fold (5),0.675
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.668
5,gini,,2,1,0.01,,Leave-One-Out,0.676
5,gini,,2,1,0.01,,K-Fold (10),0.658
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.675
6,gini,,2,1,0.01,balanced,K-Fold (5),0.675
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.668
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.676
6,gini,,2,1,0.01,balanced,K-Fold (10),0.658
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.65
7,gini,,2,1,0.1,,K-Fold (5),0.429
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.267
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.45
8,gini,,2,1,0.1,balanced,K-Fold (5),0.429
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.511
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.378
8,gini,,2,1,0.1,balanced,K-Fold (10),0.4
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.45
9,gini,,2,2,0.0,,K-Fold (5),0.696
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.671
9,gini,,2,2,0.0,,Leave-One-Out,0.676
9,gini,,2,2,0.0,,K-Fold (10),0.717
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.675
10,gini,,2,2,0.0,balanced,K-Fold (5),0.7
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.671
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.676
10,gini,,2,2,0.0,balanced,K-Fold (10),0.692
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.675
11,gini,,2,2,0.001,,K-Fold (5),0.696
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.671
11,gini,,2,2,0.001,,Leave-One-Out,0.676
11,gini,,2,2,0.001,,K-Fold (10),0.717
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.675
12,gini,,2,2,0.001,balanced,K-Fold (5),0.7
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.671
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.676
12,gini,,2,2,0.001,balanced,K-Fold (10),0.692
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.675
13,gini,,2,2,0.01,,K-Fold (5),0.696
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.671
13,gini,,2,2,0.01,,Leave-One-Out,0.676
13,gini,,2,2,0.01,,K-Fold (10),0.717
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.675
14,gini,,2,2,0.01,balanced,K-Fold (5),0.7
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.671
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.676
14,gini,,2,2,0.01,balanced,K-Fold (10),0.692
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.675
15,gini,,2,2,0.1,,K-Fold (5),0.429
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.511
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.267
