No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.65
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.618
1,gini,,2,1,0.0,,Leave-One-Out,0.676
1,gini,,2,1,0.0,,K-Fold (10),0.508
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.675
2,gini,,2,1,0.0,balanced,K-Fold (5),0.596
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.618
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.703
2,gini,,2,1,0.0,balanced,K-Fold (10),0.533
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.642
3,gini,,2,1,0.001,,K-Fold (5),0.65
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.618
3,gini,,2,1,0.001,,Leave-One-Out,0.676
3,gini,,2,1,0.001,,K-Fold (10),0.508
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.675
4,gini,,2,1,0.001,balanced,K-Fold (5),0.596
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.618
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.703
4,gini,,2,1,0.001,balanced,K-Fold (10),0.533
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.642
5,gini,,2,1,0.01,,K-Fold (5),0.65
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.618
5,gini,,2,1,0.01,,Leave-One-Out,0.676
5,gini,,2,1,0.01,,K-Fold (10),0.508
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.675
6,gini,,2,1,0.01,balanced,K-Fold (5),0.596
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.618
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.703
6,gini,,2,1,0.01,balanced,K-Fold (10),0.533
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.642
7,gini,,2,1,0.1,,K-Fold (5),0.411
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.35
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.5
8,gini,,2,1,0.1,balanced,K-Fold (5),0.411
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.511
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.433
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.508
9,gini,,2,2,0.0,,K-Fold (5),0.679
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.593
9,gini,,2,2,0.0,,Leave-One-Out,0.568
9,gini,,2,2,0.0,,K-Fold (10),0.575
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.592
10,gini,,2,2,0.0,balanced,K-Fold (5),0.679
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.593
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.568
10,gini,,2,2,0.0,balanced,K-Fold (10),0.6
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.55
11,gini,,2,2,0.001,,K-Fold (5),0.679
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.593
11,gini,,2,2,0.001,,Leave-One-Out,0.568
11,gini,,2,2,0.001,,K-Fold (10),0.575
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.592
12,gini,,2,2,0.001,balanced,K-Fold (5),0.679
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.593
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.568
12,gini,,2,2,0.001,balanced,K-Fold (10),0.6
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.55
13,gini,,2,2,0.01,,K-Fold (5),0.679
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.593
13,gini,,2,2,0.01,,Leave-One-Out,0.568
13,gini,,2,2,0.01,,K-Fold (10),0.575
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.592
14,gini,,2,2,0.01,balanced,K-Fold (5),0.679
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.593
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.568
14,gini,,2,2,0.01,balanced,K-Fold (10),0.6
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.55
15,gini,,2,2,0.1,,K-Fold (5),0.411
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.511
15,gini,,2,2,0.1,,Leave-One-Out,0.676
15,gini,,2,2,0.1,,K-Fold (10),0.35
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.5
16,gini,,2,2,0.1,balanced,K-Fold (5),0.411
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.511
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.676
16,gini,,2,2,0.1,balanced,K-Fold (10),0.433
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.508
17,gini,,2,3,0.0,,K-Fold (5),0.657
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.643
17,gini,,2,3,0.0,,Leave-One-Out,0.622
17,gini,,2,3,0.0,,K-Fold (10),0.625
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.633
18,gini,,2,3,0.0,balanced,K-Fold (5),0.657
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.643
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.622
18,gini,,2,3,0.0,balanced,K-Fold (10),0.65
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.6
19,gini,,2,3,0.001,,K-Fold (5),0.657
