No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.579
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.504
1,gini,,2,1,0.0,,Leave-One-Out,0.568
1,gini,,2,1,0.0,,K-Fold (10),0.542
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.642
2,gini,,2,1,0.0,balanced,K-Fold (5),0.521
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.504
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.568
2,gini,,2,1,0.0,balanced,K-Fold (10),0.475
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.592
3,gini,,2,1,0.001,,K-Fold (5),0.579
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.504
3,gini,,2,1,0.001,,Leave-One-Out,0.568
3,gini,,2,1,0.001,,K-Fold (10),0.542
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.642
4,gini,,2,1,0.001,balanced,K-Fold (5),0.521
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.504
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.568
4,gini,,2,1,0.001,balanced,K-Fold (10),0.475
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.592
5,gini,,2,1,0.01,,K-Fold (5),0.579
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.504
5,gini,,2,1,0.01,,Leave-One-Out,0.568
5,gini,,2,1,0.01,,K-Fold (10),0.542
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.642
6,gini,,2,1,0.01,balanced,K-Fold (5),0.521
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.504
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.568
6,gini,,2,1,0.01,balanced,K-Fold (10),0.475
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.592
7,gini,,2,1,0.1,,K-Fold (5),0.439
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.482
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.383
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.558
8,gini,,2,1,0.1,balanced,K-Fold (5),0.439
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.482
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.533
9,gini,,2,2,0.0,,K-Fold (5),0.632
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.532
9,gini,,2,2,0.0,,Leave-One-Out,0.541
9,gini,,2,2,0.0,,K-Fold (10),0.483
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.567
10,gini,,2,2,0.0,balanced,K-Fold (5),0.546
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.504
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.514
10,gini,,2,2,0.0,balanced,K-Fold (10),0.483
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.567
11,gini,,2,2,0.001,,K-Fold (5),0.632
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.532
11,gini,,2,2,0.001,,Leave-One-Out,0.541
11,gini,,2,2,0.001,,K-Fold (10),0.483
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.567
12,gini,,2,2,0.001,balanced,K-Fold (5),0.546
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.504
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.514
12,gini,,2,2,0.001,balanced,K-Fold (10),0.483
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.567
13,gini,,2,2,0.01,,K-Fold (5),0.632
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.532
13,gini,,2,2,0.01,,Leave-One-Out,0.541
13,gini,,2,2,0.01,,K-Fold (10),0.483
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.567
14,gini,,2,2,0.01,balanced,K-Fold (5),0.546
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.504
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.514
14,gini,,2,2,0.01,balanced,K-Fold (10),0.483
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.567
15,gini,,2,2,0.1,,K-Fold (5),0.439
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.482
15,gini,,2,2,0.1,,Leave-One-Out,0.676
15,gini,,2,2,0.1,,K-Fold (10),0.383
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.558
16,gini,,2,2,0.1,balanced,K-Fold (5),0.439
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.482
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.676
16,gini,,2,2,0.1,balanced,K-Fold (10),0.467
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.533
17,gini,,2,3,0.0,,K-Fold (5),0.575
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.614
17,gini,,2,3,0.0,,Leave-One-Out,0.676
17,gini,,2,3,0.0,,K-Fold (10),0.525
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.608
18,gini,,2,3,0.0,balanced,K-Fold (5),0.575
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.614
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.676
18,gini,,2,3,0.0,balanced,K-Fold (10),0.475
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.608
19,gini,,2,3,0.001,,K-Fold (5),0.575
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.614
19,gini,,2,3,0.001,,Leave-One-Out,0.676
19,gini,,2,3,0.001,,K-Fold (10),0.525
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.608
20,gini,,2,3,0.001,balanced,K-Fold (5),0.575
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.614
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.676
20,gini,,2,3,0.001,balanced,K-Fold (10),0.475
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.608
21,gini,,2,3,0.01,,K-Fold (5),0.575
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.614
21,gini,,2,3,0.01,,Leave-One-Out,0.676
21,gini,,2,3,0.01,,K-Fold (10),0.525
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.608
22,gini,,2,3,0.01,balanced,K-Fold (5),0.575
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.614
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.676
22,gini,,2,3,0.01,balanced,K-Fold (10),0.475
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.608
23,gini,,2,3,0.1,,K-Fold (5),0.439
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.482
23,gini,,2,3,0.1,,Leave-One-Out,0.676
23,gini,,2,3,0.1,,K-Fold (10),0.383
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.558
24,gini,,2,3,0.1,balanced,K-Fold (5),0.439
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.482
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.676
24,gini,,2,3,0.1,balanced,K-Fold (10),0.467
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.533
25,gini,,2,4,0.0,,K-Fold (5),0.6
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.639
25,gini,,2,4,0.0,,Leave-One-Out,0.622
25,gini,,2,4,0.0,,K-Fold (10),0.525
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.6
26,gini,,2,4,0.0,balanced,K-Fold (5),0.6
26,gini,,2,4,0.0,balanced,Stratified K-Fold (5),0.639
26,gini,,2,4,0.0,balanced,Leave-One-Out,0.595
26,gini,,2,4,0.0,balanced,K-Fold (10),0.525
26,gini,,2,4,0.0,balanced,Stratified K-Fold (10),0.575
27,gini,,2,4,0.001,,K-Fold (5),0.6
27,gini,,2,4,0.001,,Stratified K-Fold (5),0.639
27,gini,,2,4,0.001,,Leave-One-Out,0.622
27,gini,,2,4,0.001,,K-Fold (10),0.525
27,gini,,2,4,0.001,,Stratified K-Fold (10),0.6
28,gini,,2,4,0.001,balanced,K-Fold (5),0.6
28,gini,,2,4,0.001,balanced,Stratified K-Fold (5),0.639
28,gini,,2,4,0.001,balanced,Leave-One-Out,0.595
28,gini,,2,4,0.001,balanced,K-Fold (10),0.525
28,gini,,2,4,0.001,balanced,Stratified K-Fold (10),0.575
29,gini,,2,4,0.01,,K-Fold (5),0.571
29,gini,,2,4,0.01,,Stratified K-Fold (5),0.639
29,gini,,2,4,0.01,,Leave-One-Out,0.622
29,gini,,2,4,0.01,,K-Fold (10),0.525
29,gini,,2,4,0.01,,Stratified K-Fold (10),0.575
30,gini,,2,4,0.01,balanced,K-Fold (5),0.571
30,gini,,2,4,0.01,balanced,Stratified K-Fold (5),0.639
30,gini,,2,4,0.01,balanced,Leave-One-Out,0.595
30,gini,,2,4,0.01,balanced,K-Fold (10),0.525
30,gini,,2,4,0.01,balanced,Stratified K-Fold (10),0.55
31,gini,,2,4,0.1,,K-Fold (5),0.439
31,gini,,2,4,0.1,,Stratified K-Fold (5),0.482
31,gini,,2,4,0.1,,Leave-One-Out,0.676
31,gini,,2,4,0.1,,K-Fold (10),0.383
31,gini,,2,4,0.1,,Stratified K-Fold (10),0.558
32,gini,,2,4,0.1,balanced,K-Fold (5),0.439
32,gini,,2,4,0.1,balanced,Stratified K-Fold (5),0.482
32,gini,,2,4,0.1,balanced,Leave-One-Out,0.676
32,gini,,2,4,0.1,balanced,K-Fold (10),0.467
32,gini,,2,4,0.1,balanced,Stratified K-Fold (10),0.533
33,gini,,2,5,0.0,,K-Fold (5),0.521
