No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.654
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.704
1,gini,,2,1,0.0,,Leave-One-Out,0.595
1,gini,,2,1,0.0,,K-Fold (10),0.617
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.617
2,gini,,2,1,0.0,balanced,K-Fold (5),0.625
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.729
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.595
2,gini,,2,1,0.0,balanced,K-Fold (10),0.642
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.592
3,gini,,2,1,0.001,,K-Fold (5),0.654
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.704
3,gini,,2,1,0.001,,Leave-One-Out,0.595
3,gini,,2,1,0.001,,K-Fold (10),0.617
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.617
4,gini,,2,1,0.001,balanced,K-Fold (5),0.625
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.729
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.595
4,gini,,2,1,0.001,balanced,K-Fold (10),0.642
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.592
5,gini,,2,1,0.01,,K-Fold (5),0.654
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.704
5,gini,,2,1,0.01,,Leave-One-Out,0.595
5,gini,,2,1,0.01,,K-Fold (10),0.617
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.617
6,gini,,2,1,0.01,balanced,K-Fold (5),0.625
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.729
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.595
6,gini,,2,1,0.01,balanced,K-Fold (10),0.642
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.592
7,gini,,2,1,0.1,,K-Fold (5),0.439
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.511
7,gini,,2,1,0.1,,Leave-One-Out,0.676
7,gini,,2,1,0.1,,K-Fold (10),0.383
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.558
8,gini,,2,1,0.1,balanced,K-Fold (5),0.439
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.511
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.676
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.533
9,gini,,2,2,0.0,,K-Fold (5),0.571
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.621
9,gini,,2,2,0.0,,Leave-One-Out,0.595
9,gini,,2,2,0.0,,K-Fold (10),0.533
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.567
10,gini,,2,2,0.0,balanced,K-Fold (5),0.518
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.621
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.595
10,gini,,2,2,0.0,balanced,K-Fold (10),0.508
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.592
11,gini,,2,2,0.001,,K-Fold (5),0.571
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.621
11,gini,,2,2,0.001,,Leave-One-Out,0.595
11,gini,,2,2,0.001,,K-Fold (10),0.533
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.567
12,gini,,2,2,0.001,balanced,K-Fold (5),0.518
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.621
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.595
12,gini,,2,2,0.001,balanced,K-Fold (10),0.508
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.592
13,gini,,2,2,0.01,,K-Fold (5),0.571
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.621
13,gini,,2,2,0.01,,Leave-One-Out,0.595
13,gini,,2,2,0.01,,K-Fold (10),0.533
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.567
14,gini,,2,2,0.01,balanced,K-Fold (5),0.518
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.621
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.595
14,gini,,2,2,0.01,balanced,K-Fold (10),0.508
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.592
15,gini,,2,2,0.1,,K-Fold (5),0.439
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.511
15,gini,,2,2,0.1,,Leave-One-Out,0.676
15,gini,,2,2,0.1,,K-Fold (10),0.383
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.558
16,gini,,2,2,0.1,balanced,K-Fold (5),0.439
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.511
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.676
16,gini,,2,2,0.1,balanced,K-Fold (10),0.467
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.533
17,gini,,2,3,0.0,,K-Fold (5),0.596
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.761
17,gini,,2,3,0.0,,Leave-One-Out,0.676
17,gini,,2,3,0.0,,K-Fold (10),0.608
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.667
18,gini,,2,3,0.0,balanced,K-Fold (5),0.596
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.761
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.676
18,gini,,2,3,0.0,balanced,K-Fold (10),0.583
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.667
19,gini,,2,3,0.001,,K-Fold (5),0.596
