No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
1,gini,,2,1,0.0,,K-Fold (5),0.5
1,gini,,2,1,0.0,,Stratified K-Fold (5),0.486
1,gini,,2,1,0.0,,Leave-One-Out,0.486
1,gini,,2,1,0.0,,K-Fold (10),0.458
1,gini,,2,1,0.0,,Stratified K-Fold (10),0.417
2,gini,,2,1,0.0,balanced,K-Fold (5),0.496
2,gini,,2,1,0.0,balanced,Stratified K-Fold (5),0.486
2,gini,,2,1,0.0,balanced,Leave-One-Out,0.486
2,gini,,2,1,0.0,balanced,K-Fold (10),0.45
2,gini,,2,1,0.0,balanced,Stratified K-Fold (10),0.467
3,gini,,2,1,0.001,,K-Fold (5),0.5
3,gini,,2,1,0.001,,Stratified K-Fold (5),0.486
3,gini,,2,1,0.001,,Leave-One-Out,0.486
3,gini,,2,1,0.001,,K-Fold (10),0.458
3,gini,,2,1,0.001,,Stratified K-Fold (10),0.417
4,gini,,2,1,0.001,balanced,K-Fold (5),0.496
4,gini,,2,1,0.001,balanced,Stratified K-Fold (5),0.486
4,gini,,2,1,0.001,balanced,Leave-One-Out,0.486
4,gini,,2,1,0.001,balanced,K-Fold (10),0.45
4,gini,,2,1,0.001,balanced,Stratified K-Fold (10),0.467
5,gini,,2,1,0.01,,K-Fold (5),0.5
5,gini,,2,1,0.01,,Stratified K-Fold (5),0.486
5,gini,,2,1,0.01,,Leave-One-Out,0.486
5,gini,,2,1,0.01,,K-Fold (10),0.458
5,gini,,2,1,0.01,,Stratified K-Fold (10),0.417
6,gini,,2,1,0.01,balanced,K-Fold (5),0.496
6,gini,,2,1,0.01,balanced,Stratified K-Fold (5),0.486
6,gini,,2,1,0.01,balanced,Leave-One-Out,0.486
6,gini,,2,1,0.01,balanced,K-Fold (10),0.45
6,gini,,2,1,0.01,balanced,Stratified K-Fold (10),0.467
7,gini,,2,1,0.1,,K-Fold (5),0.354
7,gini,,2,1,0.1,,Stratified K-Fold (5),0.429
7,gini,,2,1,0.1,,Leave-One-Out,0.0
7,gini,,2,1,0.1,,K-Fold (10),0.3
7,gini,,2,1,0.1,,Stratified K-Fold (10),0.45
8,gini,,2,1,0.1,balanced,K-Fold (5),0.404
8,gini,,2,1,0.1,balanced,Stratified K-Fold (5),0.429
8,gini,,2,1,0.1,balanced,Leave-One-Out,0.486
8,gini,,2,1,0.1,balanced,K-Fold (10),0.467
8,gini,,2,1,0.1,balanced,Stratified K-Fold (10),0.483
9,gini,,2,2,0.0,,K-Fold (5),0.332
9,gini,,2,2,0.0,,Stratified K-Fold (5),0.454
9,gini,,2,2,0.0,,Leave-One-Out,0.432
9,gini,,2,2,0.0,,K-Fold (10),0.317
9,gini,,2,2,0.0,,Stratified K-Fold (10),0.433
10,gini,,2,2,0.0,balanced,K-Fold (5),0.332
10,gini,,2,2,0.0,balanced,Stratified K-Fold (5),0.454
10,gini,,2,2,0.0,balanced,Leave-One-Out,0.405
10,gini,,2,2,0.0,balanced,K-Fold (10),0.342
10,gini,,2,2,0.0,balanced,Stratified K-Fold (10),0.458
11,gini,,2,2,0.001,,K-Fold (5),0.332
11,gini,,2,2,0.001,,Stratified K-Fold (5),0.454
11,gini,,2,2,0.001,,Leave-One-Out,0.432
11,gini,,2,2,0.001,,K-Fold (10),0.317
11,gini,,2,2,0.001,,Stratified K-Fold (10),0.433
12,gini,,2,2,0.001,balanced,K-Fold (5),0.332
12,gini,,2,2,0.001,balanced,Stratified K-Fold (5),0.454
12,gini,,2,2,0.001,balanced,Leave-One-Out,0.405
12,gini,,2,2,0.001,balanced,K-Fold (10),0.342
12,gini,,2,2,0.001,balanced,Stratified K-Fold (10),0.458
13,gini,,2,2,0.01,,K-Fold (5),0.304
13,gini,,2,2,0.01,,Stratified K-Fold (5),0.454
13,gini,,2,2,0.01,,Leave-One-Out,0.432
13,gini,,2,2,0.01,,K-Fold (10),0.292
13,gini,,2,2,0.01,,Stratified K-Fold (10),0.433
14,gini,,2,2,0.01,balanced,K-Fold (5),0.304
14,gini,,2,2,0.01,balanced,Stratified K-Fold (5),0.454
14,gini,,2,2,0.01,balanced,Leave-One-Out,0.405
14,gini,,2,2,0.01,balanced,K-Fold (10),0.342
14,gini,,2,2,0.01,balanced,Stratified K-Fold (10),0.458
15,gini,,2,2,0.1,,K-Fold (5),0.354
15,gini,,2,2,0.1,,Stratified K-Fold (5),0.429
15,gini,,2,2,0.1,,Leave-One-Out,0.0
15,gini,,2,2,0.1,,K-Fold (10),0.3
15,gini,,2,2,0.1,,Stratified K-Fold (10),0.45
16,gini,,2,2,0.1,balanced,K-Fold (5),0.404
16,gini,,2,2,0.1,balanced,Stratified K-Fold (5),0.429
16,gini,,2,2,0.1,balanced,Leave-One-Out,0.486
16,gini,,2,2,0.1,balanced,K-Fold (10),0.467
16,gini,,2,2,0.1,balanced,Stratified K-Fold (10),0.483
17,gini,,2,3,0.0,,K-Fold (5),0.386
17,gini,,2,3,0.0,,Stratified K-Fold (5),0.486
17,gini,,2,3,0.0,,Leave-One-Out,0.351
17,gini,,2,3,0.0,,K-Fold (10),0.333
17,gini,,2,3,0.0,,Stratified K-Fold (10),0.35
18,gini,,2,3,0.0,balanced,K-Fold (5),0.386
18,gini,,2,3,0.0,balanced,Stratified K-Fold (5),0.489
18,gini,,2,3,0.0,balanced,Leave-One-Out,0.351
18,gini,,2,3,0.0,balanced,K-Fold (10),0.358
18,gini,,2,3,0.0,balanced,Stratified K-Fold (10),0.35
19,gini,,2,3,0.001,,K-Fold (5),0.386
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.486
19,gini,,2,3,0.001,,Leave-One-Out,0.351
19,gini,,2,3,0.001,,K-Fold (10),0.333
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.35
20,gini,,2,3,0.001,balanced,K-Fold (5),0.386
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.489
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.351
20,gini,,2,3,0.001,balanced,K-Fold (10),0.358
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.35
21,gini,,2,3,0.01,,K-Fold (5),0.414
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.461
21,gini,,2,3,0.01,,Leave-One-Out,0.351
21,gini,,2,3,0.01,,K-Fold (10),0.333
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.35
22,gini,,2,3,0.01,balanced,K-Fold (5),0.386
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.489
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.351
22,gini,,2,3,0.01,balanced,K-Fold (10),0.358
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.35
23,gini,,2,3,0.1,,K-Fold (5),0.354
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.429
23,gini,,2,3,0.1,,Leave-One-Out,0.0
23,gini,,2,3,0.1,,K-Fold (10),0.3
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.45
24,gini,,2,3,0.1,balanced,K-Fold (5),0.404
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.429
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.486
24,gini,,2,3,0.1,balanced,K-Fold (10),0.467
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.483
25,gini,,2,4,0.0,,K-Fold (5),0.357
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.461
25,gini,,2,4,0.0,,Leave-One-Out,0.459
25,gini,,2,4,0.0,,K-Fold (10),0.458
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.45
26,gini,,2,4,0.0,balanced,K-Fold (5),0.407
26,gini,,2,4,0.0,balanced,Stratified K-Fold (5),0.486
26,gini,,2,4,0.0,balanced,Leave-One-Out,0.514
26,gini,,2,4,0.0,balanced,K-Fold (10),0.433
26,gini,,2,4,0.0,balanced,Stratified K-Fold (10),0.45
27,gini,,2,4,0.001,,K-Fold (5),0.357
27,gini,,2,4,0.001,,Stratified K-Fold (5),0.461
27,gini,,2,4,0.001,,Leave-One-Out,0.459
27,gini,,2,4,0.001,,K-Fold (10),0.458
27,gini,,2,4,0.001,,Stratified K-Fold (10),0.45
28,gini,,2,4,0.001,balanced,K-Fold (5),0.407
28,gini,,2,4,0.001,balanced,Stratified K-Fold (5),0.486
28,gini,,2,4,0.001,balanced,Leave-One-Out,0.514
28,gini,,2,4,0.001,balanced,K-Fold (10),0.433
28,gini,,2,4,0.001,balanced,Stratified K-Fold (10),0.45
29,gini,,2,4,0.01,,K-Fold (5),0.329
29,gini,,2,4,0.01,,Stratified K-Fold (5),0.461
29,gini,,2,4,0.01,,Leave-One-Out,0.514
29,gini,,2,4,0.01,,K-Fold (10),0.408
29,gini,,2,4,0.01,,Stratified K-Fold (10),0.4
30,gini,,2,4,0.01,balanced,K-Fold (5),0.379
30,gini,,2,4,0.01,balanced,Stratified K-Fold (5),0.486
30,gini,,2,4,0.01,balanced,Leave-One-Out,0.514
30,gini,,2,4,0.01,balanced,K-Fold (10),0.408
30,gini,,2,4,0.01,balanced,Stratified K-Fold (10),0.425
31,gini,,2,4,0.1,,K-Fold (5),0.354
31,gini,,2,4,0.1,,Stratified K-Fold (5),0.429
31,gini,,2,4,0.1,,Leave-One-Out,0.0
31,gini,,2,4,0.1,,K-Fold (10),0.3
31,gini,,2,4,0.1,,Stratified K-Fold (10),0.45
32,gini,,2,4,0.1,balanced,K-Fold (5),0.404
32,gini,,2,4,0.1,balanced,Stratified K-Fold (5),0.429
32,gini,,2,4,0.1,balanced,Leave-One-Out,0.486
32,gini,,2,4,0.1,balanced,K-Fold (10),0.467
32,gini,,2,4,0.1,balanced,Stratified K-Fold (10),0.483
33,gini,,2,5,0.0,,K-Fold (5),0.325
33,gini,,2,5,0.0,,Stratified K-Fold (5),0.346
33,gini,,2,5,0.0,,Leave-One-Out,0.324
33,gini,,2,5,0.0,,K-Fold (10),0.308
33,gini,,2,5,0.0,,Stratified K-Fold (10),0.4
34,gini,,2,5,0.0,balanced,K-Fold (5),0.375
34,gini,,2,5,0.0,balanced,Stratified K-Fold (5),0.346
34,gini,,2,5,0.0,balanced,Leave-One-Out,0.351
34,gini,,2,5,0.0,balanced,K-Fold (10),0.308
34,gini,,2,5,0.0,balanced,Stratified K-Fold (10),0.4
35,gini,,2,5,0.001,,K-Fold (5),0.325
35,gini,,2,5,0.001,,Stratified K-Fold (5),0.346
35,gini,,2,5,0.001,,Leave-One-Out,0.324
35,gini,,2,5,0.001,,K-Fold (10),0.308
35,gini,,2,5,0.001,,Stratified K-Fold (10),0.4
36,gini,,2,5,0.001,balanced,K-Fold (5),0.375
36,gini,,2,5,0.001,balanced,Stratified K-Fold (5),0.346
36,gini,,2,5,0.001,balanced,Leave-One-Out,0.351
36,gini,,2,5,0.001,balanced,K-Fold (10),0.308
36,gini,,2,5,0.001,balanced,Stratified K-Fold (10),0.4
37,gini,,2,5,0.01,,K-Fold (5),0.325
37,gini,,2,5,0.01,,Stratified K-Fold (5),0.346
37,gini,,2,5,0.01,,Leave-One-Out,0.297
37,gini,,2,5,0.01,,K-Fold (10),0.283
37,gini,,2,5,0.01,,Stratified K-Fold (10),0.375
38,gini,,2,5,0.01,balanced,K-Fold (5),0.375
38,gini,,2,5,0.01,balanced,Stratified K-Fold (5),0.346
38,gini,,2,5,0.01,balanced,Leave-One-Out,0.297
38,gini,,2,5,0.01,balanced,K-Fold (10),0.308
38,gini,,2,5,0.01,balanced,Stratified K-Fold (10),0.375
39,gini,,2,5,0.1,,K-Fold (5),0.354
39,gini,,2,5,0.1,,Stratified K-Fold (5),0.429
39,gini,,2,5,0.1,,Leave-One-Out,0.0
39,gini,,2,5,0.1,,K-Fold (10),0.3
39,gini,,2,5,0.1,,Stratified K-Fold (10),0.45
40,gini,,2,5,0.1,balanced,K-Fold (5),0.404
40,gini,,2,5,0.1,balanced,Stratified K-Fold (5),0.429
40,gini,,2,5,0.1,balanced,Leave-One-Out,0.486
40,gini,,2,5,0.1,balanced,K-Fold (10),0.467
40,gini,,2,5,0.1,balanced,Stratified K-Fold (10),0.483
41,gini,,3,1,0.0,,K-Fold (5),0.418
41,gini,,3,1,0.0,,Stratified K-Fold (5),0.482
41,gini,,3,1,0.0,,Leave-One-Out,0.432
41,gini,,3,1,0.0,,K-Fold (10),0.425
41,gini,,3,1,0.0,,Stratified K-Fold (10),0.392
42,gini,,3,1,0.0,balanced,K-Fold (5),0.414
